"I_y","PF","e_PF","d_if","I_f"
3.4,0.76,0.24,0.299,1.479
3.4,0.78,0.22,0.306,1.486
3.4,0.8,0.2,0.317,1.497
3.4,0.82,0.18,0.238,1.418
3.4,0.84,0.16,0.245,1.425
3.4,0.86,0.14,0.164,1.344
3.4,0.88,0.12,0.17,1.35
3.4,0.9,0.1,0.174,1.354
3.4,0.92,0.08,0.074,1.254
3.4,0.94,0.06,0.08,1.26
3.4,0.96,0.04,0.077,1.257
3.4,0.98,0.02,0.077,1.257
3.4,1,0,0.077,1.257
3.5,0.66,0.34,0.372,1.552
3.5,0.68,0.32,0.395,1.575
3.5,0.7,0.3,0.418,1.598
3.5,0.72,0.28,0.328,1.508
3.5,0.74,0.26,0.349,1.529
3.5,0.76,0.24,0.285,1.465
3.5,0.78,0.22,0.296,1.476
3.5,0.8,0.2,0.306,1.486
3.5,0.82,0.18,0.216,1.396
3.5,0.84,0.16,0.225,1.405
3.5,0.86,0.14,0.142,1.322
3.5,0.88,0.12,0.151,1.331
3.5,0.9,0.1,0.16,1.34
3.5,0.92,0.08,0.045,1.225
3.5,0.94,0.06,0.052,1.232
3.5,0.96,0.04,0.056,1.236
3.5,0.98,0.02,0.056,1.236
3.5,1,0,0.056,1.236
3.6,0.66,0.34,0.457,1.637
3.6,0.68,0.32,0.476,1.656
3.8,0.92,0.08,0.112,1.292
3.8,0.94,0.06,0.116,1.296
3.8,0.96,0.04,0.119,1.299
3.8,0.98,0.02,0.119,1.299
3.8,1,0,0.119,1.299
3.7,0.92,0.08,0.123,1.303
3.7,0.94,0.06,0.131,1.311
3.6,0.92,0.08,0.14,1.32
3.7,0.96,0.04,0.14,1.32
3.7,0.98,0.02,0.14,1.32
3.7,1,0,0.14,1.32
3.6,0.94,0.06,0.146,1.326
3.6,0.96,0.04,0.162,1.342
3.6,0.98,0.02,0.162,1.342
3.6,1,0,0.162,1.342
3.8,0.86,0.14,0.2,1.38
3.7,0.86,0.14,0.21,1.39
3.8,0.88,0.12,0.21,1.39
3.6,0.86,0.14,0.22,1.4
3.7,0.88,0.12,0.221,1.401
3.8,0.9,0.1,0.222,1.402
3.6,0.88,0.12,0.235,1.415
3.7,0.9,0.1,0.241,1.421
3.6,0.9,0.1,0.261,1.441
3.8,0.82,0.18,0.287,1.467
3.7,0.82,0.18,0.295,1.475
3.8,0.84,0.16,0.299,1.479
3.6,0.82,0.18,0.307,1.487
3.7,0.84,0.16,0.311,1.491
3.6,0.84,0.16,0.322,1.502
3.8,0.76,0.24,0.345,1.525
3.7,0.76,0.24,0.353,1.533
3.6,0.76,0.24,0.361,1.541
3.8,0.78,0.22,0.361,1.541
3.7,0.78,0.22,0.367,1.547
3.6,0.78,0.22,0.377,1.557
3.8,0.8,0.2,0.383,1.563
3.7,0.8,0.2,0.395,1.575
3.6,0.8,0.2,0.406,1.586
3.8,0.72,0.28,0.412,1.592
3.7,0.72,0.28,0.419,1.599
3.6,0.72,0.28,0.427,1.607
3.8,0.74,0.26,0.427,1.607
3.7,0.74,0.26,0.436,1.616
3.9,0.66,0.34,0.444,1.624
3.6,0.74,0.26,0.445,1.625
3.8,0.66,0.34,0.449,1.629
3.7,0.66,0.34,0.453,1.633
3.9,0.68,0.32,0.462,1.642
3.8,0.68,0.32,0.466,1.646
3.7,0.68,0.32,0.47,1.65
3.9,0.7,0.3,0.486,1.666
3.8,0.7,0.3,0.492,1.672
3.7,0.7,0.3,0.499,1.679
3.6,0.7,0.3,0.505,1.685
3.9,0.72,0.28,0.402,1.582
3.9,0.74,0.26,0.418,1.598
3.9,0.76,0.24,0.337,1.517
3.9,0.78,0.22,0.353,1.533
3.9,0.8,0.2,0.372,1.552
3.9,0.82,0.18,0.274,1.454
3.9,0.84,0.16,0.288,1.468
4,0.92,0.08,0.064,1.244
4,0.94,0.06,0.072,1.252
4,0.96,0.04,0.076,1.256
4,0.98,0.02,0.076,1.256
4,1,0,0.076,1.256
3.9,0.92,0.08,0.095,1.275
3.9,0.96,0.04,0.097,1.277
3.9,0.98,0.02,0.097,1.277
3.9,1,0,0.097,1.277
3.9,0.94,0.06,0.1,1.28
4.1,0.92,0.08,0.162,1.342
4,0.86,0.14,0.165,1.345
4.1,0.94,0.06,0.168,1.348
4,0.88,0.12,0.174,1.354
4,0.9,0.1,0.183,1.363
4.1,0.96,0.04,0.184,1.364
4.1,0.98,0.02,0.184,1.364
4.1,1,0,0.184,1.364
3.9,0.86,0.14,0.19,1.37
3.9,0.88,0.12,0.197,1.377
3.9,0.9,0.1,0.202,1.382
4,0.82,0.18,0.25,1.43
4.1,0.86,0.14,0.263,1.443
4,0.84,0.16,0.27,1.45
4.1,0.88,0.12,0.278,1.458
4.1,0.9,0.1,0.308,1.488
4,0.76,0.24,0.317,1.497
4,0.78,0.22,0.338,1.518
4,0.8,0.2,0.36,1.54
4.1,0.82,0.18,0.361,1.541
4.1,0.84,0.16,0.378,1.558
4,0.72,0.28,0.383,1.563
4,0.74,0.26,0.406,1.586
4.1,0.76,0.24,0.418,1.598
4,0.66,0.34,0.43,1.61
4.1,0.78,0.22,0.436,1.616
4,0.68,0.32,0.455,1.635
4.1,0.8,0.2,0.467,1.647
4,0.7,0.3,0.479,1.659
4.1,0.72,0.28,0.489,1.669
4.1,0.74,0.26,0.508,1.688
4.2,0.66,0.34,0.517,1.697
4.1,0.66,0.34,0.522,1.702
4.2,0.68,0.32,0.534,1.714
4.1,0.68,0.32,0.541,1.721
4.1,0.7,0.3,0.572,1.752
4.3,0.92,0.08,0.133,1.313
4.3,0.94,0.06,0.137,1.317
4.3,0.96,0.04,0.14,1.32
4.3,0.98,0.02,0.14,1.32
4.3,1,0,0.14,1.32
4.2,0.92,0.08,0.145,1.325
4.2,0.94,0.06,0.153,1.333
4.2,0.96,0.04,0.162,1.342
4.2,0.98,0.02,0.162,1.342
4.2,1,0,0.162,1.342
4.3,0.86,0.14,0.235,1.415
4.3,0.88,0.12,0.246,1.426
4.2,0.86,0.14,0.249,1.429
4.3,0.9,0.1,0.257,1.437
4.2,0.88,0.12,0.26,1.44
4.2,0.9,0.1,0.282,1.462
4.3,0.82,0.18,0.34,1.52
4.2,0.82,0.18,0.349,1.529
4.3,0.84,0.16,0.354,1.534
4.2,0.84,0.16,0.366,1.546
4.3,0.76,0.24,0.402,1.582
4.2,0.76,0.24,0.41,1.59
4.3,0.78,0.22,0.419,1.599
4.2,0.78,0.22,0.425,1.605
4.3,0.8,0.2,0.442,1.622
4.2,0.8,0.2,0.455,1.635
4.3,0.72,0.28,0.473,1.653
4.2,0.72,0.28,0.48,1.66
4.3,0.74,0.26,0.489,1.669
4.2,0.74,0.26,0.499,1.679
4.3,0.66,0.34,0.512,1.692
4.3,0.68,0.32,0.531,1.711
4.3,0.7,0.3,0.559,1.739
4.2,0.7,0.3,0.565,1.745
4.4,0.66,0.34,0.507,1.687
4.4,0.68,0.32,0.526,1.706
4.4,0.7,0.3,0.552,1.732
4.4,0.72,0.28,0.462,1.642
4.4,0.74,0.26,0.48,1.66
4.4,0.76,0.24,0.394,1.574
4.4,0.78,0.22,0.41,1.59
4.4,0.8,0.2,0.43,1.61
4.4,0.82,0.18,0.326,1.506
4.4,0.84,0.16,0.341,1.521
4.4,0.86,0.14,0.222,1.402
4.4,0.88,0.12,0.228,1.408
4.4,0.9,0.1,0.231,1.411
4.4,0.92,0.08,0.116,1.296
4.4,0.94,0.06,0.121,1.301
4.4,0.96,0.04,0.118,1.298
4.4,0.98,0.02,0.118,1.298
4.4,1,0,0.118,1.298
4.5,0.66,0.34,0.492,1.672
4.5,0.68,0.32,0.519,1.699
4.5,0.7,0.3,0.545,1.725
4.5,0.72,0.28,0.442,1.622
4.5,0.74,0.26,0.467,1.647
4.5,0.76,0.24,0.372,1.552
4.5,0.78,0.22,0.395,1.575
4.5,0.8,0.2,0.418,1.598
4.5,0.82,0.18,0.301,1.481
4.5,0.84,0.16,0.322,1.502
4.5,0.86,0.14,0.188,1.368
4.5,0.88,0.12,0.197,1.377
4.5,0.9,0.1,0.206,1.386
4.5,0.92,0.08,0.084,1.264
4.5,0.94,0.06,0.092,1.272
4.5,0.96,0.04,0.096,1.276
4.5,0.98,0.02,0.096,1.276
4.5,1,0,0.096,1.276
4.6,0.66,0.34,0.59,1.77
4.6,0.68,0.32,0.61,1.79
4.6,0.7,0.3,0.644,1.824
4.6,0.72,0.28,0.556,1.736
4.6,0.74,0.26,0.576,1.756
4.6,0.76,0.24,0.475,1.655
4.6,0.78,0.22,0.494,1.674
4.6,0.8,0.2,0.526,1.706
4.6,0.82,0.18,0.406,1.586
4.6,0.84,0.16,0.415,1.595
4.6,0.87,0.13,0.308,1.488
4.6,0.89,0.11,0.316,1.496
4.6,0.91,0.09,0.181,1.361
4.6,0.93,0.07,0.188,1.368
4.6,0.95,0.05,0.207,1.387
4.6,0.97,0.03,0.207,1.387
4.6,0.99,0.01,0.207,1.387
4.7,0.65,0.35,0.608,1.788
4.7,0.67,0.33,0.595,1.775
4.7,0.69,0.31,0.615,1.795
4.7,0.71,0.29,0.536,1.716
4.7,0.73,0.27,0.554,1.734
4.7,0.75,0.25,0.587,1.767
4.7,0.77,0.23,0.473,1.653
4.7,0.79,0.21,0.49,1.67
4.7,0.81,0.19,0.39,1.57
4.7,0.83,0.17,0.396,1.576
4.7,0.85,0.15,0.413,1.593
4.7,0.87,0.13,0.288,1.468
4.7,0.89,0.11,0.297,1.477
4.7,0.91,0.09,0.165,1.345
4.7,0.93,0.07,0.17,1.35
4.7,0.95,0.05,0.185,1.365
4.7,0.97,0.03,0.185,1.365
4.7,0.99,0.01,0.185,1.365
4.8,0.65,0.35,0.622,1.802
4.8,0.67,0.33,0.592,1.772
4.8,0.69,0.31,0.61,1.79
4.8,0.71,0.29,0.527,1.707
4.8,0.73,0.27,0.546,1.726
4.8,0.75,0.25,0.573,1.753
4.8,0.77,0.23,0.466,1.646
4.8,0.79,0.21,0.476,1.656
4.8,0.81,0.19,0.378,1.558
4.8,0.83,0.17,0.386,1.566
4.8,0.85,0.15,0.395,1.575
4.8,0.87,0.13,0.274,1.454
4.8,0.89,0.11,0.278,1.458
4.8,0.91,0.09,0.15,1.33
4.8,0.93,0.07,0.157,1.337
4.8,0.95,0.05,0.162,1.342
4.8,0.97,0.03,0.162,1.342
4.8,0.99,0.01,0.162,1.342
4.9,0.65,0.35,0.637,1.817
4.9,0.67,0.33,0.585,1.765
4.9,0.69,0.31,0.605,1.785
4.9,0.71,0.29,0.517,1.697
4.9,0.73,0.27,0.536,1.716
4.9,0.75,0.25,0.559,1.739
4.9,0.77,0.23,0.453,1.633
4.9,0.79,0.21,0.462,1.642
4.9,0.81,0.19,0.365,1.545
4.9,0.83,0.17,0.373,1.553
4.9,0.85,0.15,0.378,1.558
4.9,0.87,0.13,0.253,1.433
4.9,0.89,0.11,0.26,1.44
4.9,0.91,0.09,0.134,1.314
4.9,0.93,0.07,0.14,1.32
4.9,0.95,0.05,0.14,1.32
4.9,0.97,0.03,0.14,1.32
4.9,0.99,0.01,0.14,1.32
5,0.65,0.35,0.651,1.831
5,0.67,0.33,0.573,1.753
5,0.69,0.31,0.601,1.781
5,0.71,0.29,0.492,1.672
5,0.73,0.27,0.519,1.699
5,0.75,0.25,0.545,1.725
5,0.77,0.23,0.43,1.61
5,0.79,0.21,0.442,1.622
5,0.81,0.19,0.338,1.518
5,0.83,0.17,0.349,1.529
5,0.85,0.15,0.36,1.54
5,0.87,0.13,0.216,1.396
5,0.89,0.11,0.225,1.405
5,0.91,0.09,0.1,1.28
5,0.93,0.07,0.109,1.289
5,0.95,0.05,0.117,1.297
5,0.97,0.03,0.117,1.297
5,0.99,0.01,0.117,1.297
5.1,0.65,0.35,0.666,1.846
5.1,0.67,0.33,0.668,1.848
5.1,0.69,0.31,0.69,1.87
5.1,0.71,0.29,0.605,1.785
5.1,0.73,0.27,0.615,1.795
5.1,0.75,0.25,0.637,1.817
5.1,0.77,0.23,0.536,1.716
5.1,0.79,0.21,0.546,1.726
5.1,0.81,0.19,0.436,1.616
5.1,0.83,0.17,0.454,1.634
5.1,0.85,0.15,0.487,1.667
5.1,0.87,0.13,0.338,1.518
5.1,0.89,0.11,0.347,1.527
5.1,0.91,0.09,0.208,1.388
5.1,0.93,0.07,0.222,1.402
5.1,0.95,0.05,0.252,1.432
5.1,0.97,0.03,0.252,1.432
5.1,0.99,0.01,0.252,1.432
5.2,0.65,0.35,0.682,1.862
5.2,0.67,0.33,0.66,1.84
5.2,0.69,0.31,0.679,1.859
5.2,0.71,0.29,0.595,1.775
5.2,0.73,0.27,0.603,1.783
5.2,0.75,0.25,0.622,1.802
5.2,0.77,0.23,0.524,1.704
5.2,0.79,0.21,0.536,1.716
5.2,0.81,0.19,0.424,1.604
5.2,0.83,0.17,0.437,1.617
5.2,0.85,0.15,0.463,1.643
5.2,0.87,0.13,0.32,1.5
5.2,0.89,0.11,0.331,1.511
5.2,0.91,0.09,0.192,1.372
5.2,0.93,0.07,0.201,1.381
5.2,0.95,0.05,0.223,1.403
5.2,0.97,0.03,0.223,1.403
5.2,0.99,0.01,0.223,1.403
5.3,0.65,0.35,0.697,1.877
5.3,0.67,0.33,0.656,1.836
5.3,0.69,0.31,0.668,1.848
5.3,0.71,0.29,0.585,1.765
5.3,0.73,0.27,0.595,1.775
5.3,0.75,0.25,0.608,1.788
5.3,0.77,0.23,0.513,1.693
5.3,0.79,0.21,0.527,1.707
5.3,0.81,0.19,0.411,1.591
5.3,0.83,0.17,0.423,1.603
5.3,0.85,0.15,0.438,1.618
5.3,0.87,0.13,0.305,1.485
5.3,0.89,0.11,0.315,1.495
5.3,0.91,0.09,0.176,1.356
5.3,0.93,0.07,0.185,1.365
5.3,0.95,0.05,0.195,1.375
5.3,0.97,0.03,0.195,1.375
5.3,0.99,0.01,0.195,1.375
5.4,0.65,0.35,0.713,1.893
5.4,0.67,0.33,0.647,1.827
5.4,0.69,0.31,0.657,1.837
5.4,0.71,0.29,0.575,1.755
5.4,0.73,0.27,0.585,1.765
5.4,0.75,0.25,0.593,1.773
5.4,0.77,0.23,0.499,1.679
5.4,0.79,0.21,0.517,1.697
5.4,0.81,0.19,0.398,1.578
5.4,0.83,0.17,0.407,1.587
5.4,0.85,0.15,0.414,1.594
5.4,0.87,0.13,0.286,1.466
5.4,0.89,0.11,0.3,1.48
5.4,0.91,0.09,0.159,1.339
5.4,0.93,0.07,0.165,1.345
5.4,0.95,0.05,0.166,1.346
5.4,0.97,0.03,0.166,1.346
5.4,0.99,0.01,0.166,1.346
5.5,0.65,0.35,0.728,1.908
5.5,0.67,0.33,0.629,1.809
5.5,0.69,0.31,0.644,1.824
5.5,0.71,0.29,0.552,1.732
5.5,0.73,0.27,0.565,1.745
5.5,0.75,0.25,0.579,1.759
5.5,0.77,0.23,0.474,1.654
5.5,0.79,0.21,0.499,1.679
5.5,0.81,0.19,0.366,1.546
5.5,0.83,0.17,0.377,1.557
5.5,0.85,0.15,0.389,1.569
5.5,0.87,0.13,0.25,1.43
5.5,0.89,0.11,0.27,1.45
5.5,0.91,0.09,0.121,1.301
5.5,0.93,0.07,0.13,1.31
5.5,0.95,0.05,0.138,1.318
5.5,0.97,0.03,0.138,1.318
5.5,0.99,0.01,0.138,1.318
5.6,0.65,0.35,0.736,1.916
5.6,0.67,0.33,0.729,1.909
5.6,0.69,0.31,0.74,1.92
5.6,0.71,0.29,0.652,1.832
5.6,0.73,0.27,0.674,1.854
5.6,0.75,0.25,0.713,1.893
5.6,0.77,0.23,0.585,1.765
5.6,0.79,0.21,0.606,1.786
5.6,0.81,0.19,0.49,1.67
5.6,0.83,0.17,0.499,1.679
5.6,0.85,0.15,0.526,1.706
5.6,0.87,0.13,0.378,1.558
5.6,0.89,0.11,0.395,1.575
5.6,0.91,0.09,0.246,1.426
5.6,0.93,0.07,0.254,1.434
5.6,0.95,0.05,0.277,1.457
5.6,0.97,0.03,0.277,1.457
5.6,0.99,0.01,0.277,1.457
5.7,0.65,0.35,0.744,1.924
5.7,0.67,0.33,0.72,1.9
5.7,0.69,0.31,0.735,1.915
5.7,0.71,0.29,0.641,1.821
5.7,0.73,0.27,0.661,1.841
5.7,0.75,0.25,0.697,1.877
5.7,0.77,0.23,0.573,1.753
5.7,0.79,0.21,0.591,1.771
5.7,0.81,0.19,0.472,1.652
5.7,0.83,0.17,0.481,1.661
5.7,0.85,0.15,0.506,1.686
5.7,0.87,0.13,0.359,1.539
5.7,0.89,0.11,0.375,1.555
5.7,0.91,0.09,0.226,1.406
5.7,0.93,0.07,0.23,1.41
5.7,0.95,0.05,0.248,1.428
5.7,0.97,0.03,0.248,1.428
5.7,0.99,0.01,0.248,1.428
5.8,0.65,0.35,0.753,1.933
5.8,0.67,0.33,0.711,1.891
5.8,0.69,0.31,0.729,1.909
5.8,0.71,0.29,0.631,1.811
5.8,0.73,0.27,0.652,1.832
5.8,0.75,0.25,0.682,1.862
5.8,0.77,0.23,0.565,1.745
5.8,0.79,0.21,0.575,1.755
5.8,0.81,0.19,0.455,1.635
5.8,0.83,0.17,0.471,1.651
5.8,0.85,0.15,0.487,1.667
5.8,0.87,0.13,0.347,1.527
5.8,0.89,0.11,0.355,1.535
5.8,0.91,0.09,0.206,1.386
5.8,0.93,0.07,0.214,1.394
5.8,0.95,0.05,0.218,1.398
5.8,0.97,0.03,0.218,1.398
5.8,0.99,0.01,0.218,1.398
5.9,0.65,0.35,0.761,1.941
5.9,0.67,0.33,0.701,1.881
5.9,0.69,0.31,0.723,1.903
5.9,0.71,0.29,0.621,1.801
5.9,0.73,0.27,0.641,1.821
5.9,0.75,0.25,0.666,1.846
5.9,0.77,0.23,0.551,1.731
5.9,0.79,0.21,0.56,1.74
5.9,0.81,0.19,0.437,1.617
5.9,0.83,0.17,0.454,1.634
5.9,0.85,0.15,0.467,1.647
5.9,0.87,0.13,0.327,1.507
5.9,0.89,0.11,0.334,1.514
5.9,0.91,0.09,0.185,1.365
5.9,0.93,0.07,0.192,1.372
5.9,0.95,0.05,0.189,1.369
5.9,0.97,0.03,0.189,1.369
5.9,0.99,0.01,0.189,1.369
6,0.65,0.35,0.769,1.949
6,0.67,0.33,0.682,1.862
6,0.69,0.31,0.713,1.893
6,0.71,0.29,0.593,1.773
6,0.73,0.27,0.622,1.802
6,0.75,0.25,0.651,1.831
6,0.77,0.23,0.525,1.705
6,0.79,0.21,0.538,1.718
6,0.81,0.19,0.401,1.581
6,0.83,0.17,0.424,1.604
6,0.85,0.15,0.448,1.628
6,0.87,0.13,0.29,1.47
6,0.89,0.11,0.301,1.481
6,0.91,0.09,0.142,1.322
6,0.93,0.07,0.151,1.331
6,0.95,0.05,0.16,1.34
6,0.97,0.03,0.16,1.34
6,0.99,0.01,0.16,1.34
