Date,Price(in dollars),Open,High,Low,Vol.,Change%
"Apr 29, 2021",600.38,563.22,614.64,554.73,4.73M,6.74
"Apr 28, 2021",562.49,568.8,578.8,539.59,2.67M,-1.11
"Apr 27, 2021",568.8,535.22,578.33,525.76,2.95M,6.27
"Apr 26, 2021",535.23,504.29,549.96,502.41,3.25M,6.14
"Apr 25, 2021",504.29,497.46,516.91,479.4,2.64M,1.37
"Apr 24, 2021",497.5,526.52,527.18,483.39,3.16M,-5.52
"Apr 23, 2021",526.56,505.12,529.95,450.94,7.19M,4.1
"Apr 22, 2021",505.84,543.3,582.15,482.81,6.69M,-6.9
"Apr 21, 2021",543.34,587.45,612.86,537.64,5.96M,-7.52
"Apr 20, 2021",587.5,503.98,588.98,474.35,5.96M,16.57
"Apr 19, 2021",503.97,481.47,539.96,469.31,5.23M,4.68
"Apr 18, 2021",481.42,515.1,520,429.96,4.66M,-6.54
"Apr 17, 2021",515.13,508.25,547.78,506.9,3.06M,1.26
"Apr 16, 2021",508.73,542.3,547.51,491.21,4.33M,-6.19
"Apr 15, 2021",542.31,549.65,556.32,534.85,2.41M,-1.33
"Apr 14, 2021",549.61,550.13,590.36,525.39,4.36M,-0.09
"Apr 13, 2021",550.1,596.59,602.31,533.3,5.62M,-8.1
"Apr 12, 2021",598.62,525.54,636.11,515.56,9.53M,13.91
"Apr 11, 2021",525.54,471.54,528.95,459.5,3.77M,11.28
"Apr 10, 2021",472.25,453.5,486.69,451.23,4.81M,4.14
"Apr 09, 2021",453.5,418.6,453.5,404.83,3.80M,8.57
"Apr 08, 2021",417.71,375.47,421.63,372.48,4.25M,11.25
"Apr 07, 2021",375.47,402.69,414.08,358.2,6.40M,-6.76
"Apr 06, 2021",402.69,367.41,411.6,364.2,4.69M,9.6
"Apr 05, 2021",367.41,349.36,379.45,335.86,3.67M,5.16
"Apr 04, 2021",349.37,321.91,352.21,316.54,2.90M,8.66
"Apr 03, 2021",321.53,338.82,348.99,316.06,3.29M,-4.94
"Apr 02, 2021",338.25,334.33,356.51,326.06,4.45M,1.17
"Apr 01, 2021",334.33,302.19,339,300.79,4.61M,10.64
"Mar 31, 2021",302.18,311.41,316.44,287.24,4.95M,-2.96
"Mar 30, 2021",311.41,275.12,311.41,271.3,5.78M,13.19
"Mar 29, 2021",275.12,268.87,277.49,264.92,2.90M,2.32
"Mar 28, 2021",268.87,269.31,281.24,261.24,3.50M,-0.17
"Mar 27, 2021",269.32,254.99,275.91,249.86,3.29M,5.62
"Mar 26, 2021",254.99,233.96,255.09,233.95,2.79M,8.85
"Mar 25, 2021",234.25,248.6,249.72,225.9,3.74M,-5.77
"Mar 24, 2021",248.59,255.45,268.6,240.41,3.50M,-2.68
"Mar 23, 2021",255.43,254.85,262.75,252.27,2.82M,0.16
"Mar 22, 2021",255.03,264.74,276.81,253.43,3.44M,-3.67
"Mar 21, 2021",264.74,264.39,267.92,257.12,2.12M,0.24
"Mar 20, 2021",264.1,263.14,274.49,261.65,2.52M,0.36
"Mar 19, 2021",263.15,261.28,269,255.39,2.41M,0.79
"Mar 18, 2021",261.09,269.85,277.73,257.7,3.33M,-3.25
"Mar 17, 2021",269.86,258.29,271.04,249.02,3.02M,4.48
"Mar 16, 2021",258.28,254.24,259.13,241.44,3.19M,1.6
"Mar 15, 2021",254.22,264.21,267.59,250.05,3.54M,-3.79
"Mar 14, 2021",264.25,275.89,276.77,264.25,2.58M,-4.22
"Mar 13, 2021",275.89,263.42,283.56,255.95,4.11M,4.73
"Mar 12, 2021",263.42,290.07,290.22,251.44,6.19M,-9.19
"Mar 11, 2021",290.07,278.15,314.44,272.98,6.91M,4.29
"Mar 10, 2021",278.15,293,295.31,268.74,6.32M,-5.07
"Mar 09, 2021",292.99,240.59,297.08,235.87,8.18M,21.78
"Mar 08, 2021",240.59,240.03,242.78,229.09,3.21M,0.24
"Mar 07, 2021",240.02,226.26,243.72,225.2,3.71M,6.08
"Mar 06, 2021",226.26,225.64,232.25,219.73,2.84M,0.28
"Mar 05, 2021",225.63,229.69,230.91,215.91,3.90M,-1.77
"Mar 04, 2021",229.7,240.62,249.66,225.65,4.24M,-4.63
"Mar 03, 2021",240.85,239.48,254.37,236.51,4.51M,0.58
"Mar 02, 2021",239.46,254.73,264.41,227.61,5.71M,-5.99
"Mar 01, 2021",254.72,210.04,259.51,209.51,8.32M,21.27
"Feb 28, 2021",210.04,225.54,228.47,195.22,6.00M,-6.68
"Feb 27, 2021",225.07,222.08,237.7,219.32,4.46M,1.35
"Feb 26, 2021",222.08,233.7,238.71,209.98,7.82M,-4.97
"Feb 25, 2021",233.7,254.26,264.46,232.19,7.22M,-8.09
"Feb 24, 2021",254.26,231.71,280.66,213.89,12.30M,9.73
"Feb 23, 2021",231.72,267.42,268.69,188.71,16.50M,-13.35
"Feb 22, 2021",267.43,293.77,295.15,222.44,13.34M,-8.97
"Feb 21, 2021",293.76,254.33,308.54,249.64,11.49M,15.49
"Feb 20, 2021",254.36,332.74,334.15,223.93,14.42M,-23.56
"Feb 19, 2021",332.74,195.74,346.82,195.07,21.23M,69.99
"Feb 18, 2021",195.74,165.38,199.66,163.11,11.91M,18.36
"Feb 17, 2021",165.38,130.09,175.33,126.91,10.82M,27.13
"Feb 16, 2021",130.09,129.99,133.43,126.34,3.57M,0.08
"Feb 15, 2021",129.98,135.97,142.07,118.64,5.26M,-4.41
"Feb 14, 2021",135.98,133.09,138.78,128.53,4.90M,2.18
"Feb 13, 2021",133.07,136.64,138.47,125.07,4.20M,-2.52
"Feb 12, 2021",136.52,124.03,140.93,121.1,6.22M,10.07
"Feb 11, 2021",124.03,128.73,132.76,118.07,6.54M,-3.64
"Feb 10, 2021",128.72,107.61,148.27,107.61,18.37M,19.62
"Feb 09, 2021",107.6,79.73,115.33,78.23,13.65M,35
"Feb 08, 2021",79.71,68.41,79.75,67.72,8.52M,16.53
"Feb 07, 2021",68.4,72.86,74.62,64.35,6.25M,-5.76
"Feb 06, 2021",72.58,67.74,75.43,61.96,8.97M,7.12
"Feb 05, 2021",67.75,55.66,68.72,55.66,5.75M,21.74
"Feb 04, 2021",55.66,52.15,56.65,51.46,4.52M,6.76
"Feb 03, 2021",52.13,50.99,52.56,49.82,3.41M,2.24
"Feb 02, 2021",50.99,51.42,52.99,49.26,5.78M,-0.82
"Feb 01, 2021",51.42,44.31,52.32,43.43,7.97M,16.13
"Jan 31, 2021",44.27,44.77,45.78,43.35,2.92M,-1.08
"Jan 30, 2021",44.76,42.88,45.09,42.6,3.24M,4.4
"Jan 29, 2021",42.87,42.48,44,41.84,3.91M,0.93
"Jan 28, 2021",42.47,40.97,43.08,40.36,3.35M,3.63
"Jan 27, 2021",40.99,41.74,42.05,39.67,2.93M,-1.8
"Jan 26, 2021",41.74,41.78,42.51,39.87,3.24M,-0.1
"Jan 25, 2021",41.78,41.82,43.38,40.57,3.14M,-0.11
"Jan 24, 2021",41.82,40.92,42.2,40.36,2.59M,2.22
"Jan 23, 2021",40.92,40.87,41.83,39.5,2.79M,0.11
"Jan 22, 2021",40.87,38.69,41.35,36.92,3.47M,5.66
"Jan 21, 2021",38.68,42.57,42.63,38.37,3.88M,-9.14
"Jan 20, 2021",42.57,42.6,42.76,40.29,4.23M,-0.13
"Jan 19, 2021",42.62,45.36,47.19,41.75,5.77M,-6.02
"Jan 18, 2021",45.35,45.91,46.88,44.07,3.37M,-0.93
"Jan 17, 2021",45.78,43.1,46.69,40.94,4.26M,6.21
"Jan 16, 2021",43.1,40.92,44.1,40.68,3.56M,5.35
"Jan 15, 2021",40.91,41.88,42.54,38.87,3.77M,-2.31
"Jan 14, 2021",41.88,40.12,41.93,39.65,3.59M,4.39
"Jan 13, 2021",40.12,38.24,40.42,37.05,3.91M,4.89
"Jan 12, 2021",38.25,38.16,40.01,37.13,4.38M,0
"Jan 11, 2021",38.26,42.42,42.44,35.1,8.52M,-9.84
"Jan 10, 2021",42.43,43.84,45.12,40.14,5.55M,-3.19
"Jan 09, 2021",43.83,42.33,44.02,41.51,3.56M,3.55
"Jan 08, 2021",42.33,43.62,43.65,40.34,4.69M,-3.01
"Jan 07, 2021",43.64,42.22,44.47,41.41,6.79M,3.45
"Jan 06, 2021",42.19,41.79,42.19,40.5,5.24M,0.95
"Jan 05, 2021",41.79,41.12,41.79,38.86,4.88M,1.68
"Jan 04, 2021",41.1,41.25,43.21,38.09,6.87M,-0.29
"Jan 03, 2021",41.22,38.24,41.64,37.78,6.34M,7.81
"Jan 02, 2021",38.23,37.73,38.46,36.81,3.94M,1.35
"Jan 01, 2021",37.72,37.33,38.93,36.98,3.24M,1.04
"Dec 31, 2020",37.34,38.1,38.19,36.73,2.57M,-2.01
"Dec 30, 2020",38.1,39.14,39.21,36.84,3.38M,-2.56
"Dec 29, 2020",39.1,35.94,39.7,35.31,9.68M,8.8
"Dec 28, 2020",35.94,33.64,36.09,33.35,5.58M,6.72
"Dec 27, 2020",33.68,33.6,34.97,31.97,4.90M,0.26
"Dec 26, 2020",33.59,33.18,34,32.57,3.17M,1.23
"Dec 25, 2020",33.18,32.51,33.48,31.8,3.35M,2.06
"Dec 24, 2020",32.51,31.19,32.74,30.4,3.93M,4.22
"Dec 23, 2020",31.19,33.52,34.43,30.03,5.45M,-6.94
"Dec 22, 2020",33.52,32.14,33.77,30.5,5.01M,4.24
"Dec 21, 2020",32.15,34.27,35.6,31.53,6.15M,-6.18
"Dec 20, 2020",34.27,33.3,35.63,32.61,5.83M,2.92
"Dec 19, 2020",33.3,30.96,34.21,30.91,5.31M,7.56
"Dec 18, 2020",30.96,30.22,31.21,29.69,2.87M,2.43
"Dec 17, 2020",30.22,30.56,31.51,29.76,4.49M,-1.09
"Dec 16, 2020",30.56,29.51,30.62,29.04,3.09M,3.54
"Dec 15, 2020",29.51,30.03,30.35,29.33,2.61M,-1.71
"Dec 14, 2020",30.03,29.14,30.18,28.66,2.68M,3.05
"Dec 13, 2020",29.14,28.17,29.26,28.02,2.18M,3.53
"Dec 12, 2020",28.14,27.34,28.23,27.28,1.75M,2.98
"Dec 11, 2020",27.33,27.73,27.79,26.73,1.70M,-1.19
"Dec 10, 2020",27.66,28.15,28.25,27.45,1.74M,-1.71
"Dec 09, 2020",28.14,27.63,28.42,26.94,2.51M,1.67
"Dec 08, 2020",27.68,29.36,29.52,27.47,2.86M,-5.76
"Dec 07, 2020",29.37,29.49,29.65,29,1.64M,-0.66
"Dec 06, 2020",29.56,29.73,30.17,29.01,1.72M,-0.57
"Dec 05, 2020",29.73,29.02,30.04,28.65,2.34M,2.41
"Dec 04, 2020",29.03,30.68,31.19,28.81,2.67M,-5.44
"Dec 03, 2020",30.7,30.3,30.79,29.89,2.43M,1.33
"Dec 02, 2020",30.3,30.08,30.99,29.61,2.93M,0.3
"Dec 01, 2020",30.21,31.42,31.88,29.23,4.15M,-4.08
"Nov 30, 2020",31.49,30.1,31.59,29.72,3.82M,4.67
"Nov 29, 2020",30.09,29.15,30.45,28.92,3.78M,3.18
"Nov 28, 2020",29.16,28.46,29.61,27.92,3.54M,2.52
"Nov 27, 2020",28.44,28.22,28.71,27.23,3.26M,0.78
"Nov 26, 2020",28.22,31.28,31.76,26.45,8.78M,-9.8
"Nov 25, 2020",31.29,33.93,35.38,30.54,6.28M,-7.74
"Nov 24, 2020",33.91,32.33,35.13,31.59,9.72M,9.46
"Nov 23, 2020",30.98,30.04,31.06,29.8,3.94M,3.14
"Nov 22, 2020",30.04,30.49,31.12,29,3.92M,-1.5
"Nov 21, 2020",30.5,28.96,30.79,28.33,4.24M,5.31
"Nov 20, 2020",28.96,28.12,29.3,28.08,3.35M,3.05
"Nov 19, 2020",28.1,28.07,28.35,27.62,2.77M,0.1
"Nov 18, 2020",28.07,28.55,28.77,27.51,3.08M,-1.7
"Nov 17, 2020",28.56,27.95,28.75,27.93,3.06M,2.12
"Nov 16, 2020",27.96,27.67,28.21,27.45,2.36M,1.08
"Nov 15, 2020",27.66,27.92,28.22,27.08,2.04M,-0.9
"Nov 14, 2020",27.91,28.21,28.21,27.39,2.10M,-0.98
"Nov 13, 2020",28.19,27.71,28.51,27.52,2.65M,1.75
"Nov 12, 2020",27.71,28,28.15,27.31,2.30M,-1.02
"Nov 11, 2020",27.99,28.21,28.58,27.83,2.66M,-0.72
"Nov 10, 2020",28.19,28.09,28.48,27.67,3.00M,0.38
"Nov 09, 2020",28.09,28.38,28.94,27.36,3.05M,-1.05
"Nov 08, 2020",28.38,27.76,28.7,27.46,3.21M,2.24
"Nov 07, 2020",27.76,29.06,29.86,26.9,4.36M,-4.46
"Nov 06, 2020",29.06,27.69,29.44,27.68,3.83M,4.94
"Nov 05, 2020",27.69,26.94,27.89,26.68,3.38M,2.77
"Nov 04, 2020",26.94,26.88,26.96,25.95,3.01M,0.26
"Nov 03, 2020",26.87,27.8,27.8,25.84,3.63M,-3.33
"Nov 02, 2020",27.8,28.52,29.3,27.8,2.95M,-2.5
"Nov 01, 2020",28.51,28.51,28.68,28.08,2.65M,0
"Oct 31, 2020",28.51,28.49,28.88,28.13,2.77M,0.07
"Oct 30, 2020",28.49,29.87,30.25,27.58,4.41M,-4.6
"Oct 29, 2020",29.86,30.33,30.42,29.49,2.76M,-1.55
"Oct 28, 2020",30.33,31.49,31.93,29.81,3.11M,-3.71
"Oct 27, 2020",31.5,31.04,32.37,30.91,3.98M,1.48
"Oct 26, 2020",31.04,30.15,31.39,29.96,3.65M,2.96
"Oct 25, 2020",30.15,30.63,30.96,29.9,2.12M,-1.6
"Oct 24, 2020",30.64,30.64,30.85,30.42,2.25M,0.02
"Oct 23, 2020",30.64,30.64,31.17,30.09,2.81M,-0.03
"Oct 22, 2020",30.65,29.74,31.29,29.71,3.87M,3.05
"Oct 21, 2020",29.74,28.78,30.39,28.64,3.69M,3.28
"Oct 20, 2020",28.8,29.92,30.08,28.5,3.55M,-3.74
"Oct 19, 2020",29.92,30.65,30.66,29.74,2.45M,-2.44
"Oct 18, 2020",30.66,30.22,31.01,30.17,3.10M,1.43
"Oct 17, 2020",30.23,30.02,30.56,29.68,2.57M,0.71
"Oct 16, 2020",30.02,31.29,31.96,29.57,4.09M,-4.13
"Oct 15, 2020",31.31,30.84,31.65,30.43,3.67M,1.52
"Oct 14, 2020",30.84,30.73,31.32,30.4,3.39M,0.39
"Oct 13, 2020",30.72,30.66,31.78,30.21,4.54M,0
"Oct 12, 2020",30.72,28.52,31.09,28.44,5.87M,7.71
"Oct 11, 2020",28.52,28.41,28.72,27.91,3.21M,0.51
"Oct 10, 2020",28.38,28.4,29.24,28.11,3.23M,0
"Oct 09, 2020",28.38,27.69,28.51,27.48,3.47M,2.49
"Oct 08, 2020",27.69,27.7,27.8,26.54,3.35M,0
"Oct 07, 2020",27.7,27.69,27.9,26.84,2.81M,0
"Oct 06, 2020",27.7,28.58,28.98,27.26,3.78M,-3.12
"Oct 05, 2020",28.59,29.01,29.25,28.1,3.05M,-1.46
"Oct 04, 2020",29.01,28.19,29.1,28.01,4.09M,2.97
"Oct 03, 2020",28.18,27.31,28.38,27.08,3.90M,3.22
"Oct 02, 2020",27.3,27.45,28.16,25.71,5.51M,-0.66
"Oct 01, 2020",27.48,29.27,29.38,26.26,5.34M,-6.28
"Sep 30, 2020",29.32,28.81,29.55,27.9,4.13M,1.79
"Sep 29, 2020",28.81,26.99,28.99,26.9,4.80M,6.76
"Sep 28, 2020",26.98,26.23,27.7,25.85,4.28M,2.87
"Sep 27, 2020",26.23,26.18,26.87,25.54,3.43M,0.13
"Sep 26, 2020",26.2,24.68,26.46,24.48,4.14M,6.14
"Sep 25, 2020",24.68,24.57,25.06,23.78,3.80M,0.44
"Sep 24, 2020",24.57,22.81,24.66,22.59,4.39M,7.74
"Sep 23, 2020",22.81,24.04,24.32,22.47,4.21M,-5.1
"Sep 22, 2020",24.03,23.03,24.55,22.75,4.43M,4.35
"Sep 21, 2020",23.03,26.32,26.65,22.32,7.10M,-12.64
"Sep 20, 2020",26.37,27.2,27.31,25.14,3.94M,-3.06
"Sep 19, 2020",27.2,27.66,27.95,26.66,3.36M,-1.7
"Sep 18, 2020",27.67,27.06,28.73,26.65,5.75M,2.26
"Sep 17, 2020",27.06,27.83,28.78,26.06,6.22M,-2.76
"Sep 16, 2020",27.83,27.12,28.43,25.94,7.79M,2.64
"Sep 15, 2020",27.11,31.14,31.14,26.75,10.69M,-12.83
"Sep 14, 2020",31.1,31.14,33.35,29.05,12.31M,-0.18
"Sep 13, 2020",31.16,28.5,32.32,28.13,15.13M,9.31
"Sep 12, 2020",28.5,25.4,28.52,25.39,9.43M,12.2
"Sep 11, 2020",25.4,24.53,25.68,23.11,5.40M,3.55
"Sep 10, 2020",24.53,24.49,25.54,24.1,6.22M,0.18
"Sep 09, 2020",24.49,23.24,24.51,22.46,5.97M,5.38
"Sep 08, 2020",23.24,22.45,23.41,21.3,7.72M,3.52
"Sep 07, 2020",22.45,23.18,23.55,20.13,7.46M,-3.17
"Sep 06, 2020",23.18,19.47,23.44,18.58,10.83M,19.08
"Sep 05, 2020",19.47,20.96,21.53,18.02,5.88M,-7.1
"Sep 04, 2020",20.95,20.33,21.83,19.42,8.41M,3.05
"Sep 03, 2020",20.33,24.7,25.54,20.18,10.46M,-17.69
"Sep 02, 2020",24.7,24.72,25.81,23.23,8.96M,-0.08
"Sep 01, 2020",24.72,23.13,25.39,22.87,6.86M,6.87
"Aug 31, 2020",23.13,23.63,23.9,22.99,2.94M,-2.09
"Aug 30, 2020",23.63,22.94,23.83,22.91,3.13M,2.98
"Aug 29, 2020",22.94,23.07,23.5,22.75,2.89M,-0.54
"Aug 28, 2020",23.07,23.1,23.57,22.62,3.87M,-0.16
"Aug 27, 2020",23.11,22.2,23.14,21.83,4.46M,4.09
"Aug 26, 2020",22.2,21.39,22.48,21.28,3.85M,3.76
"Aug 25, 2020",21.39,22.61,22.63,20.99,3.53M,-5.36
"Aug 24, 2020",22.61,21.85,22.96,21.67,2.44M,3.49
"Aug 23, 2020",21.84,22.19,22.22,21.55,2.56M,-1.61
"Aug 22, 2020",22.2,22.09,22.26,21.29,3.00M,0.62
"Aug 21, 2020",22.06,23.07,23.33,21.63,3.85M,-4.36
"Aug 20, 2020",23.07,22.35,23.3,22.02,3.31M,3.2
"Aug 19, 2020",22.35,23.01,23.25,21.86,3.27M,-2.85
"Aug 18, 2020",23.01,23.51,23.77,22.37,3.86M,-2.1
"Aug 17, 2020",23.5,23.5,23.92,23,3.63M,0
"Aug 16, 2020",23.5,23.02,23.77,22.72,3.88M,2.15
"Aug 15, 2020",23.01,23.11,23.78,22.81,3.93M,-0.45
"Aug 14, 2020",23.11,21.78,23.29,21.27,5.34M,6.13
"Aug 13, 2020",21.78,21.5,21.86,20.64,4.38M,1.28
"Aug 12, 2020",21.5,21.27,21.97,20.6,3.57M,1.1
"Aug 11, 2020",21.27,22.63,22.72,20.7,4.55M,-6.01
"Aug 10, 2020",22.63,22.44,22.78,22.08,3.06M,0.84
"Aug 09, 2020",22.44,22.92,22.94,22.05,3.04M,-2.12
"Aug 08, 2020",22.92,22.34,22.92,21.86,3.37M,2.63
"Aug 07, 2020",22.33,22.75,23,21.5,4.14M,-1.8
"Aug 06, 2020",22.75,23.27,23.29,22.53,3.64M,-2.3
"Aug 05, 2020",23.28,22.3,23.54,22.09,5.36M,4.39
"Aug 04, 2020",22.3,22.07,22.44,21.52,3.65M,1.07
"Aug 03, 2020",22.07,21,22.49,20.72,4.06M,5.07
"Aug 02, 2020",21,21.63,22.15,19.26,5.00M,-2.87
"Aug 01, 2020",21.62,20.67,21.75,20.58,3.86M,4.62
"Jul 31, 2020",20.67,19.98,20.85,19.91,3.35M,3.44
"Jul 30, 2020",19.98,19.84,20.09,19.56,3.18M,0.69
"Jul 29, 2020",19.84,19.84,19.85,19.8,3.43M,-1.61
"Jul 28, 2020",20.17,19.79,20.62,19.46,5.19M,1.87
"Jul 27, 2020",19.79,19.55,20.18,18.45,5.59M,1.23
"Jul 26, 2020",19.55,19.8,20.25,19.34,4.23M,-1.23
"Jul 25, 2020",19.8,19.18,20.03,19.16,4.41M,3.2
"Jul 24, 2020",19.18,18.76,19.54,18.24,4.12M,2.28
"Jul 23, 2020",18.76,18.11,18.76,18.05,3.66M,3.63
"Jul 22, 2020",18.1,17.72,18.11,17.46,3.39M,2.15
"Jul 21, 2020",17.72,17.47,17.98,17.4,3.29M,1.44
"Jul 20, 2020",17.47,18.01,18.33,17.28,3.68M,-3
"Jul 19, 2020",18.01,17.13,18.1,16.9,3.75M,5.1
"Jul 18, 2020",17.13,17.07,17.32,16.83,2.60M,0.36
"Jul 17, 2020",17.07,17.15,17.48,16.99,2.79M,-0.43
"Jul 16, 2020",17.15,17.63,17.76,16.56,3.20M,-2.73
"Jul 15, 2020",17.63,18.09,18.15,17.44,2.91M,-2.55
"Jul 14, 2020",18.09,18.42,18.76,17.88,3.43M,-1.77
"Jul 13, 2020",18.42,18.31,18.99,17.73,4.28M,0.62
"Jul 12, 2020",18.31,17.62,18.59,17.6,4.01M,3.89
"Jul 11, 2020",17.62,17.3,17.68,17.03,3.13M,1.85
"Jul 10, 2020",17.3,16.83,17.33,16.44,2.82M,2.76
"Jul 09, 2020",16.84,17.28,17.47,16.49,2.70M,-2.47
"Jul 08, 2020",17.26,16.8,17.45,16.62,3.23M,2.76
