Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
23/08/2002,,,,,,,248.1,1
24/08/2002,,,,,,,248.17,0.5
25/08/2002,,,,,,,248.16,0.5
26/08/2002,,,,,,,248.15,1
27/08/2002,,,,,,,248.14,0.6
28/08/2002,,,,,,,248.13,0.6
29/08/2002,,,,,,,248.13,0.6
30/08/2002,,,,,,,248.12,0.6
31/08/2002,,,,,,,248.11,0.6
01/09/2002,,,,,,,248.1,0.6
02/09/2002,,,,,,,248.09,0.6
03/09/2002,,,,,,,248.08,0.6
04/09/2002,,,,,,,248.07,0.6
05/09/2002,,,,,,,248.06,1
06/09/2002,,,,,,,248.06,1
07/09/2002,,,,,,,248.05,1
08/09/2002,,,,,,,248.04,1
09/09/2002,,,,,,,248.02,1
10/09/2002,,,,,,,248,1
11/09/2002,,,,,,,247.99,1
12/09/2002,,,,,,,247.97,1.5
13/09/2002,,,,,,,247.95,1.5
14/09/2002,,,,,,,247.9,1.5
15/09/2002,,,,,,,247.87,1.5
16/09/2002,,,,,,,247.85,1.5
17/09/2002,,,,,,,247.82,1.5
18/09/2002,,,,,,,247.77,3
19/09/2002,,,,,,,247.71,3
20/09/2002,,,,,,,247.65,3
21/09/2002,,,,,,,247.59,3
22/09/2002,,,,,,,247.54,3
23/09/2002,,,,,,,247.77,1.5
24/09/2002,,,,,,,247.97,1.5
25/09/2002,,,,,,,248,1.5
26/09/2002,,,,,,,248.01,1.5
27/09/2002,,,,,,,248.01,1.5
28/09/2002,,,,,,,247.99,1.5
29/09/2002,,,,,,,247.97,1.5
30/09/2002,,,,,,,247.95,1.5
01/10/2002,,,,,,,247.93,1.5
02/10/2002,,,,,,,247.9,1.5
03/10/2002,,,,,,,247.87,4
04/10/2002,,,,,,,247.81,1.5
05/10/2002,,,,,,,247.78,1.5
06/10/2002,,,,,,,247.76,1.5
07/10/2002,,,,,,,247.74,1.5
08/10/2002,,,,,,,247.72,1.5
09/10/2002,,,,,,,247.7,1.5
10/10/2002,,,,,,,247.69,1.5
11/10/2002,,,,,,,247.97,0.6
12/10/2002,,,,,,,248.22,0.6
13/10/2002,,,,,,,248.35,0.6
14/10/2002,,,,,,,248.42,0.6
15/10/2002,,,,,,,248.45,0.6
16/10/2002,,,,,,,248.47,0.6
17/10/2002,,,,,,,248.48,0.6
18/10/2002,,,,,,,248.55,0.6
19/10/2002,,,,,,,248.6,0.6
20/10/2002,,,,,,,248.62,0.6
21/10/2002,,,,,,,248.62,0.6
22/10/2002,,,,,,,248.89,0.6
23/10/2002,,,,,,,249.27,0.6
24/10/2002,,,,,,,249.53,0.6
25/10/2002,,,,,,,249.61,0.6
26/10/2002,,,,,,,249.67,0.6
27/10/2002,,,,,,,249.72,0.6
28/10/2002,,,,,,,249.73,0.6
29/10/2002,,,,,,,249.75,0.6
30/10/2002,,,,,,,249.77,0.6
31/10/2002,,,,,,,249.78,0.6
01/11/2002,,,,,,,249.79,0.6
02/11/2002,,,,,,,249.8,0.6
03/11/2002,,,,,,,249.81,0.6
04/11/2002,,,,,,,249.83,0.6
05/11/2002,,,,,,,249.84,0.6
06/11/2002,,,,,,,249.84,0.6
07/11/2002,,,,,,,249.84,0.6
08/11/2002,,,,,,,249.83,0.6
09/11/2002,,,,,,,249.85,0.6
10/11/2002,,,,,,,249.85,0.6
11/11/2002,,,,,,,249.86,0.6
12/11/2002,,,,,,,249.87,0.6
13/11/2002,,,,,,,249.88,0.6
14/11/2002,,,,,,,249.94,0.6
15/11/2002,,,,,,,249.97,0.6
16/11/2002,,,,,,,250,0.6
17/11/2002,,,,,,,250.01,0.6
18/11/2002,,,,,,,250.31,0.6
19/11/2002,,,,,,,250.68,0.6
20/11/2002,,,,,,,251.03,1
21/11/2002,,,,,,,251.22,3.3
22/11/2002,,,,,,,251.54,22
23/11/2002,,,,,,,251.52,22
24/11/2002,,,,,,,251.35,18
25/11/2002,,,,,,,251.2,
26/11/2002,,,,,,,251.1,
27/11/2002,,,,,,,251.12,
28/11/2002,,,,,,,251.15,
29/11/2002,,,,,,,251.19,
30/11/2002,,,,,,,251.22,
01/12/2002,,,,,,,251.37,
02/12/2002,,,,,,,251.39,7.4
03/12/2002,,,,,,,251.39,7.5
04/12/2002,,,,,,,251.35,7.3
05/12/2002,,,,,,,251.33,7.1
06/12/2002,,,,,,,251.31,6.7
07/12/2002,,,,,,,251.29,6.5
08/12/2002,,,,,,,251.27,6.3
09/12/2002,,,,,,,251.24,
10/12/2002,,,,,,,251.22,
11/12/2002,,,,,,,251.21,
12/12/2002,,,,,,,251.21,
13/12/2002,,,,,,,251.29,
14/12/2002,,,,,,,251.31,
15/12/2002,,,,,,,251.31,
16/12/2002,,,,,,,251.35,5.6
17/12/2002,,,,,,,251.35,5.6
18/12/2002,,,,,,,251.49,8.1
19/12/2002,,,,,,,251.58,11.1
20/12/2002,,,,,,,251.51,9.9
21/12/2002,,,,,,,251.45,8.2
22/12/2002,,,,,,,251.38,6.2
23/12/2002,,,,,,,251.38,4.1
24/12/2002,,,,,,,251.41,4.7
25/12/2002,,,,,,,251.41,5.2
26/12/2002,,,,,,,251.41,5.2
27/12/2002,,,,,,,251.4,5.2
28/12/2002,,,,,,,251.43,6.5
29/12/2002,,,,,,,251.67,7.8
30/12/2002,,,,,,,251.67,
31/12/2002,,,,,,,251.67,
01/01/2003,,,,,,,251.85,
02/01/2003,,,,,,,251.84,
03/01/2003,,,,,,,251.82,
04/01/2003,,,,,,,251.79,
05/01/2003,,,,,,,251.75,
06/01/2003,,,,,,,251.7,9.6
07/01/2003,,,,,,,251.7,9.5
08/01/2003,,,,,,,251.67,9.5
09/01/2003,,,,,,,251.66,7.2
10/01/2003,,,,,,,251.64,6.2
11/01/2003,,,,,,,251.62,5.8
12/01/2003,,,,,,,251.59,5.3
13/01/2003,,,,,,,251.57,4.9
14/01/2003,,,,,,,251.53,4.5
15/01/2003,,,,,,,251.5,4.1
16/01/2003,,,,,,,251.47,3.9
17/01/2003,,,,,,,251.45,3.9
18/01/2003,,,,,,,251.43,2.9
19/01/2003,,,,,,,251.41,2.9
20/01/2003,,,,,,,251.4,2.9
21/01/2003,,,,,,,251.38,2.9
22/01/2003,,,,,,,251.75,7.2
23/01/2003,,,,,,,251.83,8.1
24/01/2003,,,,,,,251.85,8.5
25/01/2003,,,,,,,251.82,8.2
26/01/2003,,,,,,,251.76,7.7
27/01/2003,,,,,,,251.73,7.2
28/01/2003,,,,,,,251.68,6.8
29/01/2003,,,,,,,251.66,6.3
30/01/2003,,,,,,,251.62,5.8
31/01/2003,,,,,,,251.56,5.2
01/02/2003,,,,,,,251.54,4.7
02/02/2003,,,,,,,251.51,4.3
03/02/2003,,,,,,,251.47,3.6
04/02/2003,,,,,,,252,40
05/02/2003,,,,,,,251.97,30
06/02/2003,,,,,,,251.7,12
07/02/2003,,,,,,,251.67,7.8
08/02/2003,,,,,,,251.64,7.4
09/02/2003,,,,,,,251.61,6.8
10/02/2003,,,,,,,251.58,6.2
11/02/2003,,,,,,,251.54,5.5
12/02/2003,,,,,,,251.49,3
13/02/2003,,,,,,,251.47,2.5
14/02/2003,,,,,,,251.45,1.5
15/02/2003,,,,,,,251.45,1.5
16/02/2003,,,,,,,251.45,1.5
17/02/2003,,,,,,,251.43,1.5
18/02/2003,,,,,,,251.42,0.6
19/02/2003,,,,,,,251.41,0.6
20/02/2003,,,,,,,251.42,0.6
21/02/2003,,,,,,,251.43,0.6
22/02/2003,,,,,,,251.44,0.6
23/02/2003,,,,,,,251.45,0.6
24/02/2003,,,,,,,251.46,0.6
25/02/2003,,,,,,,251.47,0.6
26/02/2003,,,,,,,251.48,0.6
27/02/2003,,,,,,,251.49,0.6
28/02/2003,,,,,,,251.5,0.6
01/03/2003,,,,,,,251.51,0.6
02/03/2003,,,,,,,251.51,0.6
03/03/2003,,,,,,,251.86,0.6
04/03/2003,,,,,,,252.03,3.1
05/03/2003,,,,,,,252.07,6.2
06/03/2003,,,,,,,252.08,6.7
07/03/2003,,,,,,,252.08,6.7
08/03/2003,,,,,,,252.07,6.2
09/03/2003,,,,,,,252.07,6.2
10/03/2003,,,,,,,252.07,6.3
11/03/2003,,,,,,,252.06,6.1
12/03/2003,,,,,,,252.06,5.5
13/03/2003,,,,,,,252.06,5.5
14/03/2003,,,,,,,252.06,5.5
15/03/2003,,,,,,,252.05,4.3
16/03/2003,,,,,,,252.05,3.5
17/03/2003,,,,,,,252.04,3.5
18/03/2003,,,,,,,252.03,3.6
19/03/2003,,,,,,,252.03,3.4
20/03/2003,,,,,,,252.03,2.7
21/03/2003,,,,,,,252.03,3.1
22/03/2003,,,,,,,252.03,3.1
23/03/2003,,,,,,,252.03,3.1
24/03/2003,,,,,,,252.03,3.1
25/03/2003,,,,,,,252.03,3.1
26/03/2003,,,,,,,252.03,3.1
27/03/2003,,,,,,,252.03,3.1
28/03/2003,,,,,,,252.03,3.1
29/03/2003,,,,,,,252.03,3.1
30/03/2003,,,,,,,252.03,3.1
31/03/2003,,,,,,,252.03,3
01/04/2003,,,,,,,252.03,2.1
02/04/2003,,,,,,,252.05,3.1
03/04/2003,,,,,,,252.09,6.1
04/04/2003,,,,,,,252.09,7.8
05/04/2003,,,,,,,252.06,6.8
06/04/2003,,,,,,,252.05,6
07/04/2003,,,,,,,252.05,5.1
08/04/2003,,,,,,,252.04,4.2
09/04/2003,,,,,,,252.04,4.1
10/04/2003,,,,,,,252.04,5.8
11/04/2003,,,,,,,252.08,7.7
12/04/2003,,,,,,,252.24,21.5
13/04/2003,,,,,,,252.17,17.6
14/04/2003,,,,,,,252.12,12.6
15/04/2003,,,,,,,252.09,10.1
16/04/2003,,,,,,,252.09,7.9
17/04/2003,,,,,,,252.07,5.8
18/04/2003,,,,,,,252.06,5.3
19/04/2003,,,,,,,252.06,5.9
20/04/2003,,,,,,,252.06,6.2
21/04/2003,,,,,,,252.07,5.4
22/04/2003,,,,,,,252.07,4.8
23/04/2003,,,,,,,252.07,5.4
24/04/2003,,,,,,,252.06,5.7
25/04/2003,,,,,,,252.06,5.1
26/04/2003,,,,,,,252.05,5
27/04/2003,,,,,,,252.05,4.6
28/04/2003,,,,,,,252.05,3.4
29/04/2003,,,,,,,252.05,3.7
30/04/2003,,,,,,,252.05,3.1
01/05/2003,,,,,,,252.05,2.6
02/05/2003,,,,,,,252.05,2.3
03/05/2003,,,,,,,252.05,2
04/05/2003,,,,,,,252.05,2.2
05/05/2003,,,,,,,252.04,2.1
06/05/2003,,,,,,,252.03,1.9
07/05/2003,,,,,,,252.03,2
08/05/2003,,,,,,,252.02,2.1
09/05/2003,,,,,,,252.02,2
10/05/2003,,,,,,,252.02,1.5
11/05/2003,,,,,,,252.02,2.4
12/05/2003,,,,,,,252.04,2.2
13/05/2003,,,,,,,252.03,2
14/05/2003,,,,,,,252.03,2.4
15/05/2003,,,,,,,252.02,2
16/05/2003,,,,,,,252.02,1.5
17/05/2003,,,,,,,252.02,1.6
18/05/2003,,,,,,,252.02,1.7
19/05/2003,,,,,,,252.01,1.5
20/05/2003,,,,,,,252.01,1
21/05/2003,,,,,,,252,0.5
22/05/2003,,,,,,,251.99,0.7
23/05/2003,,,,,,,251.99,0.6
24/05/2003,,,,,,,251.98,0.7
25/05/2003,,,,,,,251.97,0.9
26/05/2003,,,,,,,251.96,0.5
27/05/2003,,,,,,,251.95,0.5
28/05/2003,,,,,,,251.94,0.5
29/05/2003,,,,,,,251.93,0.5
30/05/2003,,,,,,,251.92,0.5
31/05/2003,,,,,,,251.93,0.5
01/06/2003,,,,,,,251.93,0.5
02/06/2003,,,,,,,251.93,0.5
03/06/2003,,,,,,,251.92,0.5
04/06/2003,,,,,,,251.91,0.5
05/06/2003,,,,,,,251.9,0.5
06/06/2003,,,,,,,251.89,0.5
07/06/2003,,,,,,,251.88,0.5
08/06/2003,,,,,,,251.87,0.5
09/06/2003,,,,,,,251.86,0.5
10/06/2003,,,,,,,251.84,0.5
11/06/2003,,,,,,,251.83,0.5
12/06/2003,,,,,,,251.82,0.5
13/06/2003,,,,,,,251.81,0.5
14/06/2003,,,,,,,251.79,0.5
15/06/2003,,,,,,,251.78,0.5
16/06/2003,,,,,,,251.77,0.5
17/06/2003,,,,,,,251.79,0.5
18/06/2003,,,,,,,251.8,0.5
19/06/2003,,,,,,,251.79,0.5
20/06/2003,,,,,,,251.78,0.5
21/06/2003,,,,,,,251.77,0.5
22/06/2003,,,,,,,251.76,0.5
23/06/2003,,,,,,,251.75,0.5
24/06/2003,,,,,,,251.74,0.5
25/06/2003,,,,,,,251.73,0.5
26/06/2003,,,,,,,251.72,0.5
27/06/2003,,,,,,,251.71,0.5
28/06/2003,,,,,,,251.69,0.5
29/06/2003,,,,,,,251.67,0.5
30/06/2003,,,,,,,251.65,0.5
01/07/2003,,,,,,,251.64,0.5
02/07/2003,,,,,,,251.62,0.5
03/07/2003,,,,,,,251.59,0.5
04/07/2003,,,,,,,251.57,3.6
05/07/2003,,,,,,,251.51,3.6
06/07/2003,,,,,,,251.45,3.6
07/07/2003,,,,,,,251.36,3.6
08/07/2003,,,,,,,251.3,3.6
09/07/2003,,,,,,,251.23,3.6
10/07/2003,,,,,,,251.16,3.6
11/07/2003,,,,,,,251.09,3.6
12/07/2003,,,,,,,251.02,4
13/07/2003,,,,,,,250.95,4
14/07/2003,,,,,,,250.87,3.5
15/07/2003,,,,,,,250.8,3.5
16/07/2003,,,,,,,250.74,3
17/07/2003,,,,,,,250.68,3
18/07/2003,,,,,,,250.62,3
19/07/2003,,,,,,,250.57,3
20/07/2003,,,,,,,250.5,3
21/07/2003,,,,,,,250.44,3.5
22/07/2003,,,,,,,250.37,3.5
23/07/2003,,,,,,,250.3,3.5
24/07/2003,,,,,,,250.23,3.5
25/07/2003,,,,,,,250.16,3.5
26/07/2003,,,,,,,250.09,3.5
27/07/2003,,,,,,,250.03,3.5
28/07/2003,,,,,,,249.96,3.5
29/07/2003,,,,,,,249.89,3.5
30/07/2003,,,,,,,249.81,3.5
31/07/2003,,,,,,,249.73,3.5
01/08/2003,,,,,,,249.65,3.5
02/08/2003,,,,,,,249.57,3
03/08/2003,,,,,,,249.5,3
04/08/2003,,,,,,,249.44,3
05/08/2003,,,,,,,249.38,3
06/08/2003,,,,,,,249.32,3
07/08/2003,,,,,,,249.27,3
08/08/2003,,,,,,,249.21,3
09/08/2003,,,,,,,249.15,2.8
10/08/2003,,,,,,,249.1,2.8
11/08/2003,,,,,,,249.04,2.8
12/08/2003,,,,,,,248.98,2.8
13/08/2003,,,,,,,248.92,2.8
14/08/2003,,,,,,,248.86,2.8
15/08/2003,,,,,,,248.8,2.8
16/08/2003,,,,,,,248.75,2.8
17/08/2003,,,,,,,248.69,2.8
18/08/2003,,,,,,,248.63,2.8
19/08/2003,,,,,,,248.57,2.8
20/08/2003,,,,,,,248.51,2.8
21/08/2003,,,,,,,248.44,2.8
22/08/2003,,,,,,,248.39,2.8
23/08/2003,,,,,,,248.33,2.8
24/08/2003,,,,,,,248.27,2.8
25/08/2003,,,,,,,248.21,2.8
26/08/2003,,,,,,,248.16,2.8
27/08/2003,,,,,,,248.1,2.8
28/08/2003,,,,,,,248.04,2.8
29/08/2003,,,,,,,247.98,2.8
30/08/2003,,,,,,,247.92,2.8
31/08/2003,,,,,,,247.86,2.8
01/09/2003,,,,,,,247.8,2.8
02/09/2003,,,,,,,247.74,2.8
03/09/2003,,,,,,,247.67,2.8
04/09/2003,,,,,,,247.61,2.8
05/09/2003,,,,,,,247.55,2.8
06/09/2003,,,,,,,247.49,2.8
07/09/2003,,,,,,,247.43,2.8
08/09/2003,,,,,,,247.38,2.8
09/09/2003,,,,,,,247.33,2.8
10/09/2003,,,,,,,247.28,2.8
11/09/2003,,,,,,,247.21,2.8
12/09/2003,,,,,,,247.16,2.8
13/09/2003,,,,,,,247.1,2.8
14/09/2003,,,,,,,247.03,2.8
15/09/2003,,,,,,,246.97,2.8
16/09/2003,,,,,,,246.9,2.8
17/09/2003,,,,,,,246.84,2.8
18/09/2003,,,,,,,246.78,2.8
19/09/2003,,,,,,,246.72,3
20/09/2003,,,,,,,246.64,3
21/09/2003,,,,,,,246.59,3
22/09/2003,,,,,,,246.53,3
23/09/2003,,,,,,,246.46,3
24/09/2003,,,,,,,246.41,3
25/09/2003,,,,,,,246.34,3
26/09/2003,,,,,,,246.28,3
27/09/2003,,,,,,,246.2,3
28/09/2003,,,,,,,246.14,3
29/09/2003,,,,,,,246.11,3
30/09/2003,,,,,,,246.05,3
01/10/2003,,,,,,,245.98,3
02/10/2003,,,,,,,245.91,3
03/10/2003,,,,,,,245.86,2.7
04/10/2003,,,,,,,245.8,2.4
05/10/2003,,,,,,,245.75,2.4
06/10/2003,,,,,,,245.69,2.4
07/10/2003,,,,,,,245.64,2
08/10/2003,,,,,,,245.59,2
09/10/2003,,,,,,,245.54,2
10/10/2003,,,,,,,245.5,2
11/10/2003,,,,,,,245.47,2
12/10/2003,,,,,,,245.43,2
13/10/2003,,,,,,,245.38,2
14/10/2003,,,,,,,245.34,2.3
15/10/2003,,,,,,,245.29,2.3
16/10/2003,,,,,,,245.23,2.3
17/10/2003,,,,,,,245.18,2.3
18/10/2003,,,,,,,245.12,2.3
19/10/2003,,,,,,,245.07,2.3
20/10/2003,,,,,,,245.03,2
21/10/2003,,,,,,,245.04,0.6
22/10/2003,,,,,,,245.03,0.6
23/10/2003,,,,,,,245.02,0.6
24/10/2003,,,,,,,245.03,0.6
25/10/2003,,,,,,,245.01,0.6
26/10/2003,,,,,,,245,0.6
27/10/2003,,,,,,,245.01,3
28/10/2003,,,,,,,244.96,0.6
29/10/2003,,,,,,,244.98,0.6
30/10/2003,,,,,,,245.07,0.6
31/10/2003,,,,,,,245.12,0.6
01/11/2003,,,,,,,245.18,0.6
02/11/2003,,,,,,,245.8,0.6
03/11/2003,,,,,,,245.86,0.6
04/11/2003,,,,,,,245.87,0.6
05/11/2003,,,,,,,245.88,0.6
06/11/2003,,,,,,,245.88,0.6
07/11/2003,,,,,,,245.88,0.6
08/11/2003,,,,,,,245.92,0.6
09/11/2003,,,,,,,246.41,0.6
10/11/2003,,,,,,,246.51,0.6
11/11/2003,,,,,,,246.55,0.6
12/11/2003,,,,,,,246.58,0.6
13/11/2003,,,,,,,245.58,0.6
14/11/2003,,,,,,,246.59,0.6
15/11/2003,,,,,,,246.6,0.6
16/11/2003,,,,,,,246.62,0.6
17/11/2003,,,,,,,246.64,0.5
18/11/2003,,,,,,,246.72,0.5
19/11/2003,,,,,,,246.77,0.5
20/11/2003,,,,,,,246.78,0.5
21/11/2003,,,,,,,246.8,0.5
22/11/2003,,,,,,,246.8,0.5
23/11/2003,,,,,,,246.81,0.5
24/11/2003,,,,,,,246.82,0.5
25/11/2003,,,,,,,246.84,0.5
26/11/2003,,,,,,,246.9,0.5
27/11/2003,,,,,,,247.68,0.5
28/11/2003,,,,,,,248.37,0.5
29/11/2003,,,,,,,248.65,0.5
30/11/2003,,,,,,,248.76,0.5
01/12/2003,,,,,,,248.82,0.5
02/12/2003,,,,,,,248.88,0.5
03/12/2003,,,,,,,248.93,0.5
04/12/2003,,,,,,,248.96,0.5
05/12/2003,,,,,,,248.99,0.5
06/12/2003,,,,,,,249.01,0.5
07/12/2003,,,,,,,249.03,0.5
08/12/2003,,,,,,,249.04,0.5
09/12/2003,,,,,,,249.04,0.5
10/12/2003,,,,,,,249.05,0.5
11/12/2003,,,,,,,249.16,0.5
12/12/2003,,,,,,,249.23,0.5
13/12/2003,,,,,,,249.28,0.5
14/12/2003,,,,,,,249.31,0.5
15/12/2003,,,,,,,249.33,0.5
16/12/2003,,,,,,,249.35,0.5
17/12/2003,,,,,,,249.36,0.5
18/12/2003,,,,,,,249.37,0.5
19/12/2003,,,,,,,249.38,0.5
20/12/2003,,,,,,,249.39,0.5
21/12/2003,,,,,,,249.42,0.5
22/12/2003,,,,,,,249.82,0.5
23/12/2003,,,,,,,249.94,0.5
24/12/2003,,,,,,,249.99,0.5
25/12/2003,,,,,,,250.01,0.5
26/12/2003,,,,,,,250.04,0.5
27/12/2003,,,,,,,250.06,0.5
28/12/2003,,,,,,,250.09,0.5
29/12/2003,,,,,,,250.2,0.5
30/12/2003,,,,,,,250.67,0.5
31/12/2003,,,,,,,250.95,0.5
01/01/2004,0,0,0.4,0,0,,251.14,0.5
02/01/2004,0,0,0,0,0,6.5,251.21,0.5
03/01/2004,0,0,0,0,0,4.45,251.28,0.5
04/01/2004,0,0,0,0,0,2,251.35,0.5
05/01/2004,0.2,0,0,0,0,0.9,251.37,0.5
06/01/2004,0,0,0,0,0,2.25,251.42,0.5
07/01/2004,0,0,0,0,0,3.65,251.43,0.5
08/01/2004,0,0.8,0,0,0,3.35,251.45,0.5
09/01/2004,4.6,5.8,3.8,5.6,7.8,5.55,251.49,0.5
10/01/2004,0,0,0,0,0,6.1,251.52,0.5
11/01/2004,0,0,0,0,0,6.25,251.53,0.5
12/01/2004,1.8,1.6,1.2,3.4,3.6,6.7,251.55,0.5
13/01/2004,0.4,2.6,0.8,1.2,0.6,8.6,251.58,0.5
14/01/2004,0,0.2,0,0,0,12.2,251.59,0.5
15/01/2004,7,13,10,8.8,6,9.1,251.64,0.5
16/01/2004,3.2,11.4,4.6,5.6,4.4,5.45,251.7,0.5
17/01/2004,19.6,49.6,20.2,36.4,18.2,4.9,251.8,21.6
18/01/2004,27,40.2,26.6,25.2,24.8,8.35,252.32,32.8
19/01/2004,0,0,0,0.2,0,5.55,252.21,37
20/01/2004,0.2,0,0,0,0,3.15,252.05,19
21/01/2004,0,0,0,0,0,4.2,251.98,11.5
22/01/2004,0,0,0,0,0,4.25,251.91,8.5
23/01/2004,0,0,0,0,0,2.75,251.86,7
24/01/2004,0,0,0,0,0,2.4,251.82,6
25/01/2004,0.2,2.2,0.6,1.2,1.8,1.9,251.81,6
26/01/2004,0.6,0,0.2,0.2,0.4,-0.1,251.78,5.5
27/01/2004,8.4,6.8,7.8,8.8,7.6,1.1,251.77,5.15
28/01/2004,3.6,1.8,0.6,0.6,4.8,2.15,251.75,4.95
29/01/2004,0,0,0,0,0.2,0.6,251.72,5
30/01/2004,6.8,13,19.2,12.6,20.6,-0.1,251.73,5.05
31/01/2004,5.8,0.2,0,5.4,4.2,1.7,251.71,5
01/02/2004,8.2,0.6,0,12.8,0,1.65,251.7,4.8
02/02/2004,0,0.2,0,1.6,0,4.55,251.7,4.6
03/02/2004,0,0,0,0,0,6.75,251.75,5.25
04/02/2004,0,0,0,0,0,8.2,251.79,5.8
05/02/2004,0,0,0,0,0,6.55,251.79,5.9
06/02/2004,0,0,0,0.2,0.2,7.65,251.77,6
07/02/2004,3.2,8.2,6.4,4.4,4.2,9.4,251.75,5.8
08/02/2004,1.2,1.4,1.6,1.4,0.8,8.9,251.76,6.1
09/02/2004,0,0,0,0,0,9.5,251.75,6.6
10/02/2004,0.2,0,0,0,0,7.85,251.73,6.8
11/02/2004,0,0,0,0,0,8.3,251.7,6.3
12/02/2004,0.2,0,0,0,0.2,7.05,251.68,3.5
13/02/2004,0,0,0.2,0,0,6.25,251.68,3.5
14/02/2004,0,0,0,0,0,5.4,251.68,3.6
15/02/2004,0,0,0,0,0,5.8,251.68,3.7
16/02/2004,0,0,0,0,0,8.75,251.68,3.8
17/02/2004,0,0,0,0,0,8.8,251.67,4
18/02/2004,10,11.6,8.2,8.8,11.6,6.55,251.66,4.2
19/02/2004,23.4,21.4,20.6,23.2,25,3.15,251.73,5.3
20/02/2004,1.4,1.4,1.4,0.6,2.8,3.05,251.88,6
21/02/2004,14.4,26,13.8,18,18.8,5.75,251.89,6.7
22/02/2004,14.6,27.4,16.4,25.2,28.4,9.15,252.14,17.6
23/02/2004,13.2,29.2,21.8,29,23.8,10.05,252.28,44.5
24/02/2004,0,0.2,0,0,0,8.25,252.11,33.5
25/02/2004,3.4,3.4,2.8,3.2,5.2,1.65,251.96,8.1
26/02/2004,12.4,14.8,12.8,16.6,16.2,2.2,251.96,9.6
27/02/2004,2.4,2.4,1.6,3.4,2.4,3.1,252.03,12.4
28/02/2004,10.6,1.4,7.2,9,0.6,4.55,251.99,12.2
