date,sales,profit,region,state,category,type,caffeination
01-Jan-10,494,367,East,MA,Coffee,Columbian,Regular
01-Jan-10,546,203,Central,IL,Espresso,Caffe Mocha,Regular
01-Jan-10,546,202,Central,IA,Herbal Tea,Chamomile,Decaf
01-Jan-10,546,175,Central,IA,Tea,Earl Grey,Regular
01-Jan-10,546,203,West,CA,Espresso,Decaf Espresso,Decaf
01-Jan-10,546,203,West,NV,Tea,Darjeeling,Regular
01-Jan-10,678,262,East,NY,Coffee,Columbian,Regular
01-Jan-10,678,262,West,CA,Coffee,Columbian,Regular
01-Feb-10,23,342,West,NV,Tea,Green Tea,Regular
01-Feb-10,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
01-Feb-10,43,32,East,NH,Tea,Green Tea,Regular
01-Feb-10,43,31,West,NV,Espresso,Caffe Latte,Regular
01-Feb-10,45,10,Central,IA,Coffee,Amaretto,Regular
01-Feb-10,45,11,East,NH,Tea,Darjeeling,Regular
01-Feb-10,45,10,South,NM,Herbal Tea,Chamomile,Decaf
01-Feb-10,45,10,West,NV,Espresso,Caffe Mocha,Regular
01-Feb-10,47,11,Central,IA,Espresso,Caffe Mocha,Regular
01-Feb-10,47,11,West,NV,Espresso,Decaf Espresso,Decaf
01-Feb-10,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,56,17,Central,OH,Herbal Tea,Chamomile,Decaf
01-Feb-10,56,17,East,MA,Tea,Green Tea,Regular
01-Feb-10,56,17,South,OK,Espresso,Caffe Mocha,Regular
01-Feb-10,56,17,West,OR,Tea,Darjeeling,Regular
01-Feb-10,61,203,East,NY,Espresso,Caffe Mocha,Regular
01-Feb-10,63,6,Central,IA,Coffee,Columbian,Regular
01-Feb-10,63,5,South,NM,Herbal Tea,Lemon,Decaf
01-Feb-10,63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,66,21,East,CT,Tea,Green Tea,Regular
01-Feb-10,68,7,Central,MO,Tea,Earl Grey,Regular
01-Feb-10,68,6,East,NH,Espresso,Regular Espresso,Regular
01-Feb-10,68,7,South,NM,Espresso,Caffe Latte,Regular
01-Feb-10,68,6,West,UT,Tea,Green Tea,Regular
01-Feb-10,74,4,Central,MO,Tea,Green Tea,Regular
01-Feb-10,74,4,East,NH,Herbal Tea,Lemon,Decaf
01-Feb-10,74,5,West,NV,Coffee,Columbian,Regular
01-Feb-10,80,28,Central,OH,Herbal Tea,Lemon,Decaf
01-Feb-10,80,28,East,FL,Tea,Darjeeling,Regular
01-Feb-10,80,28,East,MA,Tea,Darjeeling,Regular
01-Feb-10,80,29,South,OK,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,81,28,West,OR,Herbal Tea,Chamomile,Decaf
01-Feb-10,82,9,Central,MO,Tea,Darjeeling,Regular
01-Feb-10,82,8,South,NM,Espresso,Decaf Espresso,Decaf
01-Feb-10,82,9,West,UT,Tea,Earl Grey,Regular
01-Feb-10,94,34,South,LA,Coffee,Columbian,Regular
01-Feb-10,94,34,West,WA,Herbal Tea,Lemon,Decaf
01-Feb-10,100,30,Central,CO,Tea,Green Tea,Regular
01-Feb-10,100,29,South,OK,Coffee,Columbian,Regular
01-Feb-10,100,30,West,OR,Herbal Tea,Lemon,Decaf
01-Feb-10,101,25,East,NH,Coffee,Amaretto,Regular
01-Feb-10,101,24,West,UT,Herbal Tea,Chamomile,Decaf
01-Feb-10,102,32,Central,MO,Herbal Tea,Lemon,Decaf
01-Feb-10,102,31,South,NM,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,102,31,West,UT,Herbal Tea,Mint,Decaf
01-Feb-10,103,38,Central,MO,Espresso,Decaf Espresso,Decaf
01-Feb-10,103,38,West,UT,Espresso,Caffe Latte,Regular
01-Feb-10,104,8,Central,MO,Herbal Tea,Chamomile,Decaf
01-Feb-10,104,7,East,NH,Espresso,Caffe Mocha,Regular
01-Feb-10,104,7,South,NM,Espresso,Caffe Mocha,Regular
01-Feb-10,104,7,West,UT,Tea,Darjeeling,Regular
01-Feb-10,110,35,Central,WI,Espresso,Decaf Espresso,Decaf
01-Feb-10,110,34,East,FL,Herbal Tea,Chamomile,Decaf
01-Feb-10,110,35,West,WA,Espresso,Caffe Latte,Regular
01-Feb-10,112,35,South,LA,Herbal Tea,Chamomile,Decaf
01-Feb-10,112,35,West,UT,Espresso,Caffe Mocha,Regular
01-Feb-10,114,23,East,NH,Coffee,Columbian,Regular
01-Feb-10,114,24,South,NM,Coffee,Columbian,Regular
01-Feb-10,114,24,West,UT,Herbal Tea,Lemon,Decaf
01-Feb-10,115,43,Central,WI,Herbal Tea,Lemon,Decaf
01-Feb-10,115,44,East,FL,Tea,Green Tea,Regular
01-Feb-10,115,44,South,LA,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,118,12,Central,WI,Coffee,Amaretto,Regular
01-Feb-10,118,12,East,FL,Herbal Tea,Lemon,Decaf
01-Feb-10,118,11,South,OK,Herbal Tea,Chamomile,Decaf
01-Feb-10,118,12,West,WA,Espresso,Caffe Mocha,Regular
01-Feb-10,122,117,West,CA,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,123,48,Central,MO,Espresso,Caffe Mocha,Regular
01-Feb-10,123,48,East,CT,Tea,Darjeeling,Regular
01-Feb-10,123,48,West,UT,Espresso,Decaf Espresso,Decaf
01-Feb-10,128,38,Central,OH,Coffee,Columbian,Regular
01-Feb-10,128,4,East,MA,Espresso,Caffe Mocha,Regular
01-Feb-10,128,38,South,TX,Herbal Tea,Lemon,Decaf
01-Feb-10,128,38,West,OR,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,129,3,Central,CO,Herbal Tea,Lemon,Decaf
01-Feb-10,129,3,Central,OH,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,129,4,West,OR,Coffee,Amaretto,Regular
01-Feb-10,130,29,East,CT,Espresso,Decaf Espresso,Decaf
01-Feb-10,130,30,West,UT,Coffee,Columbian,Regular
01-Feb-10,132,18,Central,CO,Tea,Darjeeling,Regular
01-Feb-10,132,18,Central,OH,Espresso,Decaf Espresso,Decaf
01-Feb-10,132,18,East,MA,Herbal Tea,Lemon,Decaf
01-Feb-10,132,27,West,CA,Coffee,Amaretto,Regular
01-Feb-10,132,18,West,OR,Espresso,Caffe Latte,Regular
01-Feb-10,136,34,Central,CO,Tea,Earl Grey,Regular
01-Feb-10,137,41,Central,WI,Tea,Darjeeling,Regular
01-Feb-10,137,41,South,LA,Espresso,Decaf Espresso,Decaf
01-Feb-10,137,41,West,WA,Tea,Earl Grey,Regular
01-Feb-10,140,33,Central,CO,Herbal Tea,Mint,Decaf
01-Feb-10,140,33,Central,OH,Coffee,Amaretto,Regular
01-Feb-10,140,33,South,TX,Herbal Tea,Chamomile,Decaf
01-Feb-10,140,33,West,OR,Espresso,Caffe Mocha,Regular
01-Feb-10,142,44,West,WA,Coffee,Columbian,Regular
01-Feb-10,154,42,Central,WI,Espresso,Caffe Mocha,Regular
01-Feb-10,154,42,East,FL,Herbal Tea,Mint,Decaf
01-Feb-10,154,41,West,WA,Espresso,Decaf Espresso,Decaf
01-Feb-10,155,3,Central,WI,Tea,Earl Grey,Regular
01-Feb-10,155,3,East,CT,Espresso,Caffe Mocha,Regular
01-Feb-10,155,2,South,LA,Espresso,Caffe Latte,Regular
01-Feb-10,155,25,West,OR,Coffee,Columbian,Regular
01-Feb-10,155,3,West,WA,Tea,Green Tea,Regular
01-Feb-10,165,46,Central,MO,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,165,46,East,CT,Herbal Tea,Mint,Decaf
01-Feb-10,165,46,West,UT,Coffee,Amaretto,Regular
01-Feb-10,174,66,Central,WI,Herbal Tea,Chamomile,Decaf
01-Feb-10,174,65,South,LA,Espresso,Caffe Mocha,Regular
01-Feb-10,174,66,West,WA,Tea,Darjeeling,Regular
01-Feb-10,180,50,Central,WI,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,180,51,East,FL,Espresso,Decaf Espresso,Decaf
01-Feb-10,180,120,East,NY,Herbal Tea,Mint,Decaf
01-Feb-10,189,80,Central,CO,Espresso,Caffe Mocha,Regular
01-Feb-10,189,59,Central,CO,Espresso,Decaf Espresso,Decaf
01-Feb-10,189,79,Central,IL,Tea,Darjeeling,Regular
01-Feb-10,189,59,Central,IL,Tea,Earl Grey,Regular
01-Feb-10,189,79,East,NY,Tea,Green Tea,Regular
01-Feb-10,189,58,South,TX,Espresso,Caffe Latte,Regular
01-Feb-10,189,80,South,TX,Espresso,Decaf Espresso,Decaf
01-Feb-10,189,80,West,CA,Tea,Earl Grey,Regular
01-Feb-10,189,58,West,CA,Tea,Green Tea,Regular
01-Feb-10,190,68,Central,CO,Coffee,Columbian,Regular
01-Feb-10,190,68,Central,IL,Herbal Tea,Lemon,Decaf
01-Feb-10,190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,190,68,West,CA,Herbal Tea,Mint,Decaf
01-Feb-10,193,42,Central,MO,Coffee,Columbian,Regular
01-Feb-10,193,41,East,CT,Herbal Tea,Lemon,Decaf
01-Feb-10,193,42,South,LA,Herbal Tea,Lemon,Decaf
01-Feb-10,193,41,West,UT,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,200,62,Central,OH,Tea,Darjeeling,Regular
01-Feb-10,200,63,East,FL,Coffee,Columbian,Regular
01-Feb-10,200,63,South,OK,Espresso,Decaf Espresso,Decaf
01-Feb-10,200,62,West,OR,Tea,Earl Grey,Regular
01-Feb-10,206,71,Central,OH,Tea,Earl Grey,Regular
01-Feb-10,206,71,East,FL,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,206,70,South,OK,Espresso,Caffe Latte,Regular
01-Feb-10,206,71,West,OR,Tea,Green Tea,Regular
01-Feb-10,220,15,Central,WI,Coffee,Columbian,Regular
01-Feb-10,220,16,East,FL,Espresso,Caffe Mocha,Regular
01-Feb-10,220,15,South,OK,Herbal Tea,Lemon,Decaf
01-Feb-10,220,15,West,WA,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,232,99,Central,CO,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,232,99,Central,IL,Herbal Tea,Mint,Decaf
01-Feb-10,232,100,East,NY,Tea,Darjeeling,Regular
01-Feb-10,232,100,West,CA,Herbal Tea,Chamomile,Decaf
01-Feb-10,243,105,Central,CO,Coffee,Amaretto,Regular
01-Feb-10,243,105,Central,IL,Herbal Tea,Chamomile,Decaf
01-Feb-10,243,105,East,NY,Tea,Earl Grey,Regular
01-Feb-10,243,106,South,TX,Espresso,Caffe Mocha,Regular
01-Feb-10,243,106,West,CA,Tea,Darjeeling,Regular
01-Feb-10,254,95,Central,IL,Coffee,Decaf Irish Cream,Decaf
01-Feb-10,254,95,Central,IA,Herbal Tea,Lemon,Decaf
01-Feb-10,254,94,West,NV,Herbal Tea,Mint,Decaf
01-Feb-10,290,26,West,CA,Espresso,Caffe Mocha,Regular
01-Feb-10,290,26,West,NV,Herbal Tea,Chamomile,Decaf
01-Feb-10,325,121,East,CT,Coffee,Columbian,Regular
01-Feb-10,325,121,West,WA,Herbal Tea,Chamomile,Decaf
01-Feb-10,340,99,Central,CO,Herbal Tea,Chamomile,Decaf
01-Feb-10,340,98,Central,OH,Espresso,Caffe Mocha,Regular
01-Feb-10,340,99,East,MA,Espresso,Regular Espresso,Regular
01-Feb-10,340,99,West,OR,Espresso,Decaf Espresso,Decaf
01-Feb-10,354,115,Central,IL,Coffee,Columbian,Regular
01-Feb-10,354,115,West,NV,Herbal Tea,Lemon,Decaf
01-Feb-10,457,142,Central,IL,Espresso,Decaf Espresso,Decaf
01-Feb-10,457,141,Central,IA,Tea,Darjeeling,Regular
01-Feb-10,457,142,West,CA,Espresso,Caffe Latte,Regular
01-Feb-10,457,142,West,NV,Tea,Earl Grey,Regular
01-Feb-10,465,164,South,TX,Coffee,Columbian,Regular
01-Feb-10,465,164,West,CA,Herbal Tea,Lemon,Decaf
01-Feb-10,470,340,East,MA,Coffee,Columbian,Regular
01-Feb-10,495,131,East,NY,Herbal Tea,Lemon,Decaf
01-Feb-10,534,169,Central,IA,Tea,Earl Grey,Regular
01-Feb-10,545,201,Central,IL,Espresso,Caffe Mocha,Regular
01-Feb-10,545,201,Central,IA,Herbal Tea,Chamomile,Decaf
01-Feb-10,545,202,West,CA,Espresso,Decaf Espresso,Decaf
01-Feb-10,545,202,West,NV,Tea,Darjeeling,Regular
01-Feb-10,580,264,East,NY,Espresso,Regular Espresso,Regular
01-Feb-10,645,245,East,NY,Coffee,Columbian,Regular
01-Feb-10,645,245,West,CA,Coffee,Columbian,Regular
01-Mar-10,32,340,West,NV,Tea,Green Tea,Regular
01-Mar-10,41,9,Central,IA,Espresso,Caffe Mocha,Regular
01-Mar-10,41,10,West,NV,Espresso,Decaf Espresso,Decaf
01-Mar-10,43,32,Central,IA,Espresso,Decaf Espresso,Decaf
01-Mar-10,43,32,East,NH,Tea,Green Tea,Regular
01-Mar-10,43,31,West,NV,Espresso,Caffe Latte,Regular
01-Mar-10,45,10,Central,IA,Coffee,Amaretto,Regular
01-Mar-10,45,11,East,NH,Tea,Darjeeling,Regular
01-Mar-10,45,10,South,NM,Herbal Tea,Chamomile,Decaf
01-Mar-10,45,10,West,NV,Espresso,Caffe Mocha,Regular
01-Mar-10,53,15,Central,OH,Herbal Tea,Chamomile,Decaf
01-Mar-10,53,15,East,MA,Tea,Green Tea,Regular
01-Mar-10,53,15,South,OK,Espresso,Caffe Mocha,Regular
01-Mar-10,53,16,West,OR,Tea,Darjeeling,Regular
01-Mar-10,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
01-Mar-10,62,18,East,CT,Tea,Green Tea,Regular
01-Mar-10,63,6,Central,IA,Coffee,Columbian,Regular
01-Mar-10,63,208,East,NY,Espresso,Caffe Mocha,Regular
01-Mar-10,63,5,South,NM,Herbal Tea,Lemon,Decaf
01-Mar-10,63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
01-Mar-10,75,4,Central,MO,Tea,Green Tea,Regular
01-Mar-10,75,3,Central,MO,Tea,Earl Grey,Regular
01-Mar-10,75,4,East,NH,Espresso,Regular Espresso,Regular
01-Mar-10,75,3,East,NH,Herbal Tea,Lemon,Decaf
01-Mar-10,75,3,South,NM,Espresso,Caffe Latte,Regular
01-Mar-10,75,4,West,UT,Tea,Green Tea,Regular
01-Mar-10,75,4,West,NV,Coffee,Columbian,Regular
01-Mar-10,79,28,Central,OH,Herbal Tea,Lemon,Decaf
01-Mar-10,79,28,East,MA,Tea,Darjeeling,Regular
01-Mar-10,79,27,South,OK,Coffee,Decaf Irish Cream,Decaf
01-Mar-10,81,27,East,FL,Tea,Darjeeling,Regular
01-Mar-10,82,29,South,LA,Coffee,Columbian,Regular
01-Mar-10,82,29,West,WA,Herbal Tea,Lemon,Decaf
01-Mar-10,85,11,Central,MO,Tea,Darjeeling,Regular
01-Mar-10,85,11,South,NM,Espresso,Decaf Espresso,Decaf
01-Mar-10,85,10,West,UT,Tea,Earl Grey,Regular
01-Mar-10,92,33,West,OR,Herbal Tea,Chamomile,Decaf
01-Mar-10,98,29,Central,CO,Tea,Green Tea,Regular
01-Mar-10,98,29,South,OK,Coffee,Columbian,Regular
01-Mar-10,98,29,West,OR,Herbal Tea,Lemon,Decaf
01-Mar-10,106,32,Central,MO,Herbal Tea,Lemon,Decaf
01-Mar-10,106,33,South,NM,Coffee,Decaf Irish Cream,Decaf
01-Mar-10,106,32,West,UT,Herbal Tea,Mint,Decaf
01-Mar-10,107,6,Central,MO,Herbal Tea,Chamomile,Decaf
01-Mar-10,107,7,East,NH,Espresso,Caffe Mocha,Regular
01-Mar-10,107,29,East,NH,Coffee,Amaretto,Regular
01-Mar-10,107,7,South,NM,Espresso,Caffe Mocha,Regular
01-Mar-10,107,28,West,UT,Herbal Tea,Chamomile,Decaf
01-Mar-10,107,7,West,UT,Tea,Darjeeling,Regular
01-Mar-10,110,34,South,LA,Herbal Tea,Chamomile,Decaf
01-Mar-10,110,34,West,UT,Espresso,Caffe Mocha,Regular
01-Mar-10,112,34,Central,WI,Espresso,Decaf Espresso,Decaf
