Date,Game,Earnings,Players,Tournaments
6/1/2001,Age of Empires II,500,4,1
7/1/2001,QuakeWorld,15000,8,1
7/1/2001,Counter-Strike,1800,16,2
8/1/2001,Quake III Arena,58197.36,3,2
8/1/2001,Counter-Strike,13197.36,41,1
8/1/2001,Age of Empires II,500,1,1
8/1/2001,Capcom vs. SNK,0,3,1
8/1/2001,Marvel vs. Capcom 2,0,3,1
8/1/2001,Street Fighter Alpha 3,0,3,1
8/1/2001,Super Street Fighter II Turbo,0,3,1
9/1/2001,Counter-Strike,22792.51,41,1
9/1/2001,StarCraft: Brood War,7806.4,16,1
10/1/2001,Counter-Strike,22000,15,2
10/1/2001,StarCraft: Brood War,13057.6,4,1
11/1/2001,Age of Empires II,95000,16,1
11/1/2001,Counter-Strike,5239.51,5,1
11/1/2001,Quake III Arena,2619.76,8,1
12/1/2001,Counter-Strike,220000,109,2
12/1/2001,Age of Empires II,61000,20,5
12/1/2001,StarCraft: Brood War,53538.08,24,3
12/1/2001,FIFA 2001,46000,9,2
12/1/2001,Quake III Arena,46000,8,2
12/1/2001,Unreal Tournament,46000,9,2
12/1/2001,Aliens versus Predator 2,40000,1,1
1/1/2002,Age of Empires II,1000,1,1
2/1/2002,Counter-Strike,26000,15,1
2/1/2002,Age of Empires II,1000,1,1
3/1/2002,Counter-Strike,1035,17,1
3/1/2002,Age of Empires II,1000,1,1
4/1/2002,StarCraft: Brood War,20338.4,6,2
4/1/2002,Age of Empires II,5500,4,2
4/1/2002,Super Smash Bros. Melee,0,3,1
5/1/2002,Counter-Strike,18411.62,42,1
5/1/2002,Quake III Arena,9666.1,0,1
5/1/2002,StarCraft: Brood War,4913.16,1,1
5/1/2002,Age of Empires II,2000,4,2
6/1/2002,StarCraft: Brood War,28808.28,19,2
6/1/2002,Age of Empires II,1000,1,1
6/1/2002,Super Smash Bros. Melee,40,3,1
7/1/2002,Counter-Strike,112100.15,169,3
7/1/2002,Age of Empires II,16450,9,4
7/1/2002,Quake III Arena,9540.3,12,1
7/1/2002,StarCraft: Brood War,2000,3,1
8/1/2002,Return to Castle Wolfenstein,53000,30,1
8/1/2002,Quake III Arena,40000,5,1
8/1/2002,Age of Empires II,8850,14,8
8/1/2002,Capcom vs. SNK 2,0,3,1
8/1/2002,Marvel vs. Capcom 2,0,3,1
8/1/2002,Super Street Fighter II Turbo,0,3,1
9/1/2002,Counter-Strike,5856.64,6,1
9/1/2002,Age of Empires II,5116,5,3
9/1/2002,Age of Empires,100,3,1
10/1/2002,StarCraft: Brood War,33884.42,18,3
10/1/2002,Counter-Strike,9791.02,40,1
10/1/2002,Age of Empires II,1000,1,1
11/1/2002,Counter-Strike,86000,55,2
11/1/2002,Age of Empires II,44000,9,2
11/1/2002,FIFA 2002 World Cup,43000,8,1
11/1/2002,Quake III Arena,43000,8,1
11/1/2002,StarCraft: Brood War,43000,8,1
11/1/2002,Unreal Tournament,43000,8,1
11/1/2002,Halo: Combat Evolved,5000,21,2
11/1/2002,Unreal Tournament 2003,4000,8,4
11/1/2002,WarCraft III,106,1,1
12/1/2002,Counter-Strike,141800.45,145,4
12/1/2002,WarCraft III,31179.25,11,3
12/1/2002,Unreal Tournament 2003,30000,16,1
12/1/2002,Return to Castle Wolfenstein,14424.3,0,1
12/1/2002,NASCAR Thunder 2002,7679.25,0,1
12/1/2002,Star Wars Jedi Knight II: Jedi Outcast,7679.25,0,1
12/1/2002,Age of Empires II,5950,13,2
1/1/2003,Age of Empires II,10500,16,3
1/1/2003,StarCraft: Brood War,6051.2,6,1
1/1/2003,Super Smash Bros. Melee,2050,7,2
1/1/2003,Counter-Strike,1280,30,2
2/1/2003,StarCraft: Brood War,24975.04,16,1
2/1/2003,Counter-Strike,2666.67,32,3
2/1/2003,Age of Empires II,380,4,2
3/1/2003,Counter-Strike,22817.54,65,4
3/1/2003,Halo: Combat Evolved,12500,0,1
3/1/2003,Super Smash Bros. Melee,12500,3,1
3/1/2003,Tekken 4,12500,0,1
3/1/2003,Unreal Tournament 2003,12500,0,1
3/1/2003,WarCraft III,8081.27,6,1
4/1/2003,Counter-Strike,51906.6,40,3
4/1/2003,WarCraft III,15741.88,3,1
4/1/2003,Unreal Tournament 2003,15199.05,0,1
4/1/2003,Halo: Combat Evolved,14950,32,5
4/1/2003,Quake III Arena,8663.46,3,2
4/1/2003,StarCraft: Brood War,7265.55,2,2
4/1/2003,Age of Empires II,1980,5,3
5/1/2003,Counter-Strike,20355.3,52,6
5/1/2003,Age of Empires II,760,6,4
5/1/2003,Age of Empires,625,4,1
6/1/2003,Counter-Strike,60804.35,63,5
6/1/2003,StarCraft: Brood War,44018,40,2
6/1/2003,WarCraft III,27887.45,4,1
6/1/2003,NASCAR Thunder 2003,5933.5,0,1
6/1/2003,Age of Empires II,380,4,2
7/1/2003,Counter-Strike,133689.2,107,5
7/1/2003,StarCraft: Brood War,35839.25,28,3
7/1/2003,Unreal Tournament 2003,25617.5,9,3
7/1/2003,WarCraft III,20500,11,3
7/1/2003,Quake III Arena,10000,4,1
7/1/2003,Age of Empires II,200,1,1
8/1/2003,Counter-Strike,218835.22,126,5
8/1/2003,Quake III Arena,76800,23,3
8/1/2003,Unreal Tournament 2003,9457.36,3,1
8/1/2003,Age of Empires II,7000,8,1
8/1/2003,WarCraft III,6755.26,4,1
8/1/2003,FIFA 03,5066.44,3,1
8/1/2003,Super Smash Bros. Melee,1000,1,1
8/1/2003,Capcom vs. SNK 2,0,3,1
8/1/2003,Guilty Gear XX,0,3,1
8/1/2003,Marvel vs. Capcom 2,0,3,1
8/1/2003,Soul Calibur II,0,3,1
8/1/2003,Street Fighter III: 3rd Strike,0,3,1
8/1/2003,Super Street Fighter II Turbo,0,3,1
8/1/2003,Tekken 4,0,3,1
8/1/2003,Tekken Tag Tournament,0,3,1
8/1/2003,Virtua Fighter 4: Evolution,0,3,1
9/1/2003,Counter-Strike,52342.44,51,5
9/1/2003,WarCraft III,8113.13,17,6
9/1/2003,StarCraft: Brood War,2329.2,4,1
10/1/2003,StarCraft: Brood War,90848.8,58,3
10/1/2003,Counter-Strike,77962.88,90,7
10/1/2003,WarCraft III,49962.48,12,6
10/1/2003,Age of Mythology,49000,8,2
10/1/2003,FIFA 03,49000,7,2
10/1/2003,Unreal Tournament 2003,49000,8,2
10/1/2003,Halo: Combat Evolved,40700,14,3
10/1/2003,Gran Turismo 3: A-Spec,1500,3,1
10/1/2003,Madden NFL 2004,1500,3,1
10/1/2003,Soul Calibur II,1500,3,1
10/1/2003,Age of Empires II,1000,4,1
11/1/2003,StarCraft: Brood War,65511.35,27,3
11/1/2003,Counter-Strike,50530.64,124,11
11/1/2003,WarCraft III,42562.34,29,9
11/1/2003,Halo: Combat Evolved,9000,32,2
11/1/2003,Age of Empires II,3347.02,7,2
12/1/2003,Counter-Strike,126187.15,121,5
12/1/2003,Halo: Combat Evolved,30000,12,1
12/1/2003,WarCraft III,12028.52,4,1
12/1/2003,Live for Speed,2491.62,5,1
12/1/2003,Age of Empires II,2150,15,2
12/1/2003,FIFA 04,0,0,1
1/1/2004,StarCraft: Brood War,102004.09,19,3
1/1/2004,WarCraft III,89700,23,5
1/1/2004,Counter-Strike,76529.3,85,5
1/1/2004,Age of Empires II,5900,14,4
1/1/2004,Age of Mythology,3000,8,1
1/1/2004,Super Smash Bros. Melee,1682.5,6,3
2/1/2004,StarCraft: Brood War,38128.9,46,1
2/1/2004,Counter-Strike,13614.55,50,4
2/1/2004,Halo: Combat Evolved,13500,20,3
2/1/2004,WarCraft III,1600,4,1
3/1/2004,Counter-Strike,30220.45,125,7
3/1/2004,StarCraft: Brood War,25871.1,16,1
3/1/2004,Quake III Arena,1500,8,1
3/1/2004,Halo: Combat Evolved,825,8,2
4/1/2004,Counter-Strike,42681.96,84,7
4/1/2004,StarCraft: Brood War,39368.63,7,2
4/1/2004,WarCraft III,21048.08,8,3
4/1/2004,Halo: Combat Evolved,20235,41,5
5/1/2004,Counter-Strike,40662.88,109,11
5/1/2004,WarCraft III,15769.77,20,11
5/1/2004,Age of Empires II,300,2,1
6/1/2004,Counter-Strike,57327.74,158,10
6/1/2004,WarCraft III,28285.85,25,9
6/1/2004,Age of Empires II,25000,37,1
6/1/2004,FIFA 04,0,0,1
6/1/2004,Live for Speed,0,1,1
7/1/2004,Counter-Strike,218264.97,198,10
7/1/2004,StarCraft: Brood War,94246.86,22,2
7/1/2004,Counter-Strike: Condition Zero,38575.3,66,1
7/1/2004,WarCraft III,35325.14,19,8
7/1/2004,Pro Evolution Soccer 3,25000,8,1
7/1/2004,Quake III Arena,20000,17,1
7/1/2004,Painkiller,10000,4,1
7/1/2004,Unreal Tournament 2004,10000,4,1
7/1/2004,Age of Empires II,700,2,1
7/1/2004,Super Smash Bros. Melee,500,2,2
8/1/2004,Counter-Strike,128249.95,177,7
8/1/2004,Quake III Arena,90000,15,2
8/1/2004,StarCraft: Brood War,61556.61,23,3
8/1/2004,Halo: Combat Evolved,60448,10,4
8/1/2004,Doom 3,60000,5,1
8/1/2004,Call of Duty,50000,51,1
8/1/2004,Unreal Tournament 2004,50000,25,1
8/1/2004,WarCraft III,42541.43,17,11
8/1/2004,Painkiller,25000,8,1
8/1/2004,Super Smash Bros. Melee,1712,12,2
8/1/2004,Age of Empires II,1000,5,2
8/1/2004,Capcom vs. SNK 2,0,3,1
8/1/2004,Guilty Gear XX,0,3,1
8/1/2004,Marvel vs. Capcom 2,0,3,1
8/1/2004,Soul Calibur II,0,3,1
8/1/2004,Street Fighter III: 3rd Strike,0,3,1
8/1/2004,Super Street Fighter II Turbo,0,3,1
8/1/2004,Tekken 4,0,3,1
8/1/2004,Tekken Tag Tournament,0,3,1
8/1/2004,Virtua Fighter 4: Evolution,0,3,1
9/1/2004,Counter-Strike,39832.96,81,7
9/1/2004,Halo: Combat Evolved,20448,9,5
9/1/2004,WarCraft III,19631.03,33,6
9/1/2004,Unreal Tournament 2004,6512.41,8,1
9/1/2004,Super Smash Bros. Melee,1000,3,1
9/1/2004,Age of Empires II,487.07,3,2
10/1/2004,Doom 3,120748.16,1,1
10/1/2004,StarCraft: Brood War,109080,14,3
10/1/2004,Counter-Strike: Condition Zero,85000,15,1
10/1/2004,Halo: Combat Evolved,68000,21,3
10/1/2004,WarCraft III,51189.23,9,5
10/1/2004,FIFA 04,40000,3,1
10/1/2004,Unreal Tournament 2004,40000,3,1
10/1/2004,Counter-Strike,37498.7,77,6
10/1/2004,Need for Speed: Underground,35000,3,1
10/1/2004,Project Gotham Racing 2,35000,3,1
10/1/2004,Super Smash Bros. Melee,5750,7,2
10/1/2004,Soul Calibur II,2700,2,1
10/1/2004,Gran Turismo 3: A-Spec,1750,3,1
11/1/2004,Counter-Strike,65601.04,109,8
11/1/2004,WarCraft III,29521.78,23,9
11/1/2004,StarCraft: Brood War,28176.96,16,1
11/1/2004,Age of Empires II,658.13,2,1
12/1/2004,Counter-Strike,149167.17,154,7
12/1/2004,Counter-Strike: Condition Zero,38575.3,60,1
12/1/2004,Doom 3,27000,8,1
12/1/2004,Painkiller,20000,16,1
12/1/2004,WarCraft III,18776.59,19,4
12/1/2004,Age of Empires II,11520,72,3
12/1/2004,Day of Defeat,10000,18,1
12/1/2004,FIFA 05,0,0,1
12/1/2004,Live for Speed,0,1,1
1/1/2005,StarCraft: Brood War,116514.19,20,3
1/1/2005,Counter-Strike,19815.45,40,3
1/1/2005,WarCraft III,5024.02,4,2
1/1/2005,Halo 2,5000,8,2
1/1/2005,Super Smash Bros. Melee,4112,20,4
1/1/2005,Age of Empires II,50,1,1
2/1/2005,StarCraft: Brood War,132115.99,14,3
2/1/2005,Counter-Strike,39490.02,105,8
2/1/2005,Halo 2,5000,12,2
2/1/2005,Counter-Strike: Source,4800,14,2
2/1/2005,WarCraft III,1615,4,2
2/1/2005,Super Smash Bros. Melee,1250,5,2
2/1/2005,Age of Empires II,200,1,1
3/1/2005,Counter-Strike,161882.2,122,8
3/1/2005,WarCraft III,58470.46,18,3
3/1/2005,Painkiller,50000,16,1
3/1/2005,StarCraft: Brood War,43217.61,19,2
3/1/2005,Halo 2,15000,15,5
3/1/2005,Unreal Tournament 2004,13470.46,3,1
3/1/2005,Age of Empires II,8000,8,1
3/1/2005,Super Smash Bros. Melee,1250,6,2
3/1/2005,FIFA 05,0,3,1
3/1/2005,Need for Speed: Underground 2,0,3,1
3/1/2005,Project Gotham Racing 2,0,3,1
4/1/2005,Counter-Strike,10789.93,77,4
4/1/2005,StarCraft: Brood War,6913.61,3,1
4/1/2005,Halo 2,5000,12,2
4/1/2005,WarCraft III,4364.5,3,1
4/1/2005,Age of Empires II,2000,4,1
4/1/2005,Super Smash Bros. Melee,1250,5,2
5/1/2005,Counter-Strike,119372.35,196,10
5/1/2005,Painkiller,1.00E+05,21,2
5/1/2005,WarCraft III,7069.09,21,4
5/1/2005,Quake III Arena,3497.09,3,2
5/1/2005,StarCraft: Brood War,2704.76,7,2
5/1/2005,Age of Empires II,2000,5,1
5/1/2005,Counter-Strike: Source,1610.3,10,1
6/1/2005,Counter-Strike,107360.46,124,7
6/1/2005,WarCraft III,59811.51,27,7
6/1/2005,Painkiller,50000,16,1
6/1/2005,Age of Empires II,15000,35,2
6/1/2005,FIFA 05,9427.07,0,1
6/1/2005,Halo 2,5450,16,3
6/1/2005,StarCraft: Brood War,4552.42,4,2
6/1/2005,Super Smash Bros. Melee,3230,14,3
6/1/2005,Live for Speed,1812.9,5,1
7/1/2005,Counter-Strike,345241.52,229,11
7/1/2005,StarCraft: Brood War,137098.82,32,3
7/1/2005,WarCraft III,105000,26,3
7/1/2005,Counter-Strike: Source,56500,49,2
7/1/2005,Painkiller,50000,16,1
7/1/2005,Pro Evolution Soccer 4,40000,8,1
7/1/2005,Day of Defeat,30000,23,1
7/1/2005,Halo 2,15900,19,5
7/1/2005,Gran Turismo 4,12000,4,1
7/1/2005,Quake III Arena,12000,4,1
7/1/2005,Unreal Tournament 2004,12000,4,1
7/1/2005,Halo: Combat Evolved,3675,11,3
7/1/2005,Super Smash Bros. Melee,1252.96,11,3
7/1/2005,Age of Empires II,716.91,2,1
8/1/2005,Counter-Strike,105884.4,153,11
8/1/2005,WarCraft III,58731.05,29,6
8/1/2005,StarCraft: Brood War,57806.97,11,6
8/1/2005,Doom 3,50000,3,1
8/1/2005,Wolfenstein: Enemy Territory,50000,19,1
8/1/2005,Halo 2,34000,32,9
8/1/2005,Quake III Arena,34000,7,3
8/1/2005,Quake II,20000,3,1
8/1/2005,Age of Empires II,9900,11,3
8/1/2005,Quake 4,4000,2,1
8/1/2005,Battlefield 2,3148.82,0,1
8/1/2005,Super Smash Bros. Melee,1800,7,4
8/1/2005,Unreal Tournament 2004,944.65,4,3
8/1/2005,Call of Duty,629.77,0,1
8/1/2005,Counter-Strike: Source,629.77,0,1
8/1/2005,Need for Speed: Underground 2,629.48,3,1
8/1/2005,Capcom vs. SNK 2,0,3,1
8/1/2005,Guilty Gear XX #Reload,0,3,1
8/1/2005,Marvel vs. Capcom 2,0,3,1
8/1/2005,Street Fighter III: 3rd Strike,0,3,1
8/1/2005,Super Street Fighter II Turbo,0,3,1
8/1/2005,Tekken 5,0,3,2
8/1/2005,Tekken Tag Tournament,0,3,1
9/1/2005,Counter-Strike,73335.28,138,11
9/1/2005,Painkiller,50000,16,1
9/1/2005,Halo 2,14500,18,3
9/1/2005,WarCraft III,6685.62,11,3
9/1/2005,Quake III Arena,6134.97,8,1
9/1/2005,StarCraft: Brood War,3500,3,1
9/1/2005,Counter-Strike: Source,1402.3,10,3
9/1/2005,Super Smash Bros. Melee,1250,6,2
9/1/2005,Pro Evolution Soccer 4,550.64,3,1
10/1/2005,Painkiller,150000,24,3
10/1/2005,Counter-Strike,80958.36,112,8
10/1/2005,WarCraft III,22500,6,2
10/1/2005,Halo 2,21000,32,2
10/1/2005,StarCraft: Brood War,13000,2,1
10/1/2005,Super Smash Bros. Melee,6000,7,2
10/1/2005,Age of Empires II,2500,8,1
10/1/2005,Counter-Strike: Source,603.85,25,2
11/1/2005,Painkiller,510000,32,1
11/1/2005,Counter-Strike: Source,85000,15,1
11/1/2005,StarCraft: Brood War,70665.01,31,3
11/1/2005,Halo 2,56000,31,3
11/1/2005,WarCraft III,51966.13,34,5
11/1/2005,Counter-Strike,37556.16,157,5
11/1/2005,FIFA 05,35000,3,1
11/1/2005,Need for Speed: Underground 2,35000,3,1
11/1/2005,"Warhammer 40,000: Dawn of War",35000,3,1
11/1/2005,Dead or Alive Ultimate,30000,3,1
11/1/2005,Quake 4,14456.95,13,3
11/1/2005,Super Smash Bros. Melee,8677.5,13,4
11/1/2005,Defense of the Ancients,1736.36,0,1
11/1/2005,Quake III Arena,1041.81,6,1
11/1/2005,Unreal Tournament 2004,1041.81,6,1
11/1/2005,FIFA 06,694.54,4,1
11/1/2005,Need for Speed: Most Wanted,694.54,4,1
12/1/2005,Counter-Strike,251755.3,198,11
12/1/2005,WarCraft III,57410.63,18,3
12/1/2005,Quake 4,33323.75,35,3
12/1/2005,FIFA 06,26000,2,1
12/1/2005,Halo 2,21000,32,2
12/1/2005,FIFA 05,13300.94,0,2
12/1/2005,Super Smash Bros. Melee,6000,6,2
12/1/2005,StarCraft: Brood War,4670.11,4,1
12/1/2005,Live for Speed,1010.87,3,1
12/1/2005,Age of Empires II,450,9,1
1/1/2006,StarCraft: Brood War,107729.9,37,3
1/1/2006,Madden NFL 2006,1.00E+05,1,1
1/1/2006,Counter-Strike: Source,21000,60,1
1/1/2006,WarCraft III,14338.37,16,2
1/1/2006,Counter-Strike,4802.57,25,2
1/1/2006,Quake 4,3200,6,1
1/1/2006,Wolfenstein: Enemy Territory,1500,18,1
2/1/2006,Counter-Strike,101777.85,192,8
2/1/2006,Halo 2,68750,32,2
2/1/2006,Age of Empires II,19979,44,2
2/1/2006,Super Smash Bros. Melee,19250,12,2
2/1/2006,WarCraft III,18128.13,7,2
2/1/2006,StarCraft: Brood War,15000,21,2
2/1/2006,Quake 4,13092.34,18,4
2/1/2006,Quake III Arena,2128.13,4,1
2/1/2006,Counter-Strike: Source,1198.56,10,1
3/1/2006,Counter-Strike,92154.77,98,7
3/1/2006,Counter-Strike: Source,40887.05,65,4
3/1/2006,Quake 4,40000,20,4
3/1/2006,StarCraft: Brood War,37540,26,2
3/1/2006,WarCraft III,22000,9,3
3/1/2006,Call of Duty 2,2970.79,0,2
3/1/2006,FIFA 06,200,1,1
3/1/2006,Need for Speed: Most Wanted,0,3,1
4/1/2006,Counter-Strike,44687.27,93,8
4/1/2006,Halo 2,38975,26,2
4/1/2006,Super Smash Bros. Melee,9775,13,2
4/1/2006,StarCraft: Brood War,9084.8,19,2
4/1/2006,Battlefield 2,8855.39,0,2
4/1/2006,Counter-Strike: Source,8000.66,40,4
4/1/2006,Quake 4,6222.83,9,3
4/1/2006,Call of Duty 2,619.88,0,1
5/1/2006,Counter-Strike,172812.19,221,6
5/1/2006,WarCraft III,47550,16,3
5/1/2006,Halo 2,38975,16,2
5/1/2006,StarCraft: Brood War,8896,19,3
5/1/2006,Super Smash Bros. Melee,5275,18,2
5/1/2006,Call of Duty 2,3000,0,1
5/1/2006,Counter-Strike: Source,1878.84,20,2
6/1/2006,Counter-Strike,136497.9,137,17
6/1/2006,StarCraft: Brood War,124532.47,35,4
6/1/2006,WarCraft III,57008.68,37,6
6/1/2006,Halo 2,38975,27,2
6/1/2006,Quake 4,18000,6,2
6/1/2006,FIFA 06,9856.52,0,1
6/1/2006,Battlefield 2,6571.01,0,1
6/1/2006,Super Smash Bros. Melee,5275,19,2
6/1/2006,Counter-Strike: Source,2707.88,30,2
6/1/2006,Live for Speed,1895.48,5,1
6/1/2006,Age of Empires II,200,3,1
7/1/2006,Counter-Strike,539579.04,308,10
7/1/2006,Quake 4,111000,20,2
7/1/2006,StarCraft: Brood War,73193.08,16,1
7/1/2006,Halo 2,62975,32,4
7/1/2006,Battlefield 2,50000,0,1
7/1/2006,WarCraft III,47543.74,17,13
7/1/2006,Gran Turismo 4,32000,4,1
7/1/2006,Pro Evolution Soccer 5,32000,4,1
7/1/2006,TrackMania Nations,32000,4,1
7/1/2006,Super Smash Bros. Melee,18000,34,5
7/1/2006,Dead or Alive 4,15000,2,1
7/1/2006,Forza Motorsport 2,15000,2,1
7/1/2006,Day of Defeat,10300,1,1
7/1/2006,Project Gotham Racing 3,9000,3,1
7/1/2006,Ghost Recon Advanced Warfighter,8000,0,1
7/1/2006,Wolfenstein: Enemy Territory,1000,22,1
7/1/2006,Age of Empires II,153.54,3,1
8/1/2006,Counter-Strike,182686.53,187,11
8/1/2006,Quake 4,78129.76,20,5
8/1/2006,WarCraft III,59518.46,51,9
8/1/2006,Halo 2,38975,28,2
8/1/2006,Wolfenstein: Enemy Territory,30000,15,1
8/1/2006,StarCraft: Brood War,21797.89,20,3
8/1/2006,FIFA 06,16564.37,13,3
8/1/2006,Super Smash Bros. Melee,12175,12,4
8/1/2006,Counter-Strike: Source,11083.84,35,3
8/1/2006,Capcom vs. SNK 2,10250,8,1
8/1/2006,Dead or Alive 4,10250,8,1
8/1/2006,Guilty Gear XX Slash,10250,6,1
8/1/2006,Hyper Street Fighter II,10250,8,1
8/1/2006,Marvel vs. Capcom 2,10250,8,1
8/1/2006,Street Fighter III: 3rd Strike,10250,8,1
8/1/2006,Tekken 5,10250,8,1
8/1/2006,Battlefield 2,9482.11,0,1
8/1/2006,Need for Speed: Most Wanted,7000,8,2
8/1/2006,Quake III Arena,2797.89,8,1
8/1/2006,Call of Duty 2,663.74,0,1
8/1/2006,Age of Empires,42.25,10,1
9/1/2006,Counter-Strike,207321.6,182,12
9/1/2006,WarCraft III,74724.89,23,11
9/1/2006,StarCraft: Brood War,27300,11,3
9/1/2006,Quake III Arena,11500,4,1
9/1/2006,Call of Duty 2,9500,0,1
9/1/2006,Quake 4,9000,0,1
9/1/2006,Wolfenstein: Enemy Territory,3850.2,19,1
9/1/2006,Age of Empires,247,15,1
10/1/2006,Counter-Strike,206173.01,95,7
10/1/2006,Halo 2,97425,32,2
10/1/2006,StarCraft: Brood War,90560,29,7
10/1/2006,WarCraft III,71637.78,16,7
10/1/2006,"Warhammer 40,000: Dawn of War",43000,3,1
10/1/2006,Quake 4,33861.29,17,6
10/1/2006,Project Gotham Racing 3,28300,4,2
10/1/2006,Super Smash Bros. Melee,28284,18,3
10/1/2006,Need for Speed: Most Wanted,28000,5,2
10/1/2006,Dead or Alive 4,27800,4,2
10/1/2006,FIFA 06,27000,3,1
10/1/2006,Counter-Strike: Source,16386.77,46,4
10/1/2006,FIFA 07,1300,2,1
11/1/2006,StarCraft: Brood War,215067.85,47,7
11/1/2006,Halo 2,198000,13,2
11/1/2006,Counter-Strike,150242.11,286,13
11/1/2006,TrackMania Nations,40000,10,1
11/1/2006,Counter-Strike: Source,19869.62,50,4
11/1/2006,Super Smash Bros. Melee,18000,8,2
11/1/2006,Quake III Arena,17387.74,12,2
11/1/2006,WarCraft III,17146.91,12,4
11/1/2006,Call of Duty 2,14494.87,0,2
11/1/2006,Quake 4,10832.78,14,5
11/1/2006,Battlefield 2,4166.08,0,2
12/1/2006,Counter-Strike,292864.56,247,16
12/1/2006,WarCraft III,87982.99,13,4
12/1/2006,StarCraft: Brood War,78328.25,11,4
12/1/2006,Counter-Strike: Source,54697.31,20,2
12/1/2006,Quake III Arena,50000,32,1
12/1/2006,Halo 2,35000,12,1
12/1/2006,Project Gotham Racing 3,35000,3,1
12/1/2006,Quake 4,35000,3,1
12/1/2006,FIFA 06,32149.1,5,3
12/1/2006,FIFA 07,26000,3,1
12/1/2006,Ghost Recon Advanced Warfighter,16000,0,1
12/1/2006,Age of Empires II,5000,16,1
12/1/2006,Defense of the Ancients,738.83,5,1
12/1/2006,Battlefield 2,0,0,1
12/1/2006,Live for Speed,0,1,1
1/1/2007,Madden NFL 2007,1.00E+05,1,1
1/1/2007,WarCraft III,46158.12,19,3
1/1/2007,StarCraft: Brood War,27988.8,12,5
1/1/2007,Counter-Strike,10515.9,40,3
1/1/2007,Age of Empires II,10000,16,1
1/1/2007,Counter-Strike: Source,8294.48,20,2
1/1/2007,Super Smash Bros. Melee,1249.76,10,3
2/1/2007,StarCraft: Brood War,118210.13,33,5
2/1/2007,Counter-Strike,108551.49,195,8
2/1/2007,WarCraft III,23150,10,2
2/1/2007,Counter-Strike: Source,9960.68,35,3
2/1/2007,Defense of the Ancients,9548.34,0,1
2/1/2007,Wolfenstein: Enemy Territory,6655.76,30,1
2/1/2007,Super Smash Bros. Melee,2143.9,12,4
2/1/2007,Age of Empires II,777.9,3,1
3/1/2007,Counter-Strike,177202.55,137,7
3/1/2007,StarCraft: Brood War,144610.72,25,4
