id,Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update,Reading Link
18,Shotgun Boy,Carnby Kim / Hongpil,1.7M,Thriller,9.83,620.8K,"While running for his life in the woods, bullying victim Gyuhwan stumbles upon a shotgun and just enough shells for his classmates. It's a recipe for disaster. But fate takes an unexpected turn when he returns to find his classmates under attack by brain-eating creatures. Now, the only thing that stands in the way of their ravenous feast is a boy with a shotgun.",UP EVERY THURSDAY,https://www.webtoons.com/en/thriller/shotgun-boy/list?title_no=2534
19,Love Me Knot,Sophia,3.8M,Romance,9.37,838.8K,"You'd think that being able to see the Red String of Fate would make finding your soulmate a lot easier. But for Avery, the blossoming romanceâ€‹ around her only emphasizes her own string... with no one attached to the other end. Is Avery destined to live a loveless life, or can she tailor her own romance?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/romance/love-me-knot/list?title_no=2224
20,Muted,Miranda Mundt,5.6M,Supernatural,9.71,724K,"On the full moon of her 21st year, the young witch, Camille Severin, is expected to perform the traditional ritual to summon forth a winged demon for her families success and prosperity. But when the ritual goes wrong, it reveals the terrifying truths about herself and the secrets that threaten to tear her family apart.",UP EVERY FRIDAY,https://www.webtoons.com/en/supernatural/muted/list?title_no=1566
21,Get Schooled,Yongtaek Chae / GARAM HAN,"8,83,687",Drama,9.76,407.7K,"Hwajin Na's teaching techniques are pretty violent for someone who works in the Ministry of Education. That being said, when punishments don't seem to work on even the worst of school bullies, there is no better man for the job. Sometimes you can't get a good education until those bullies are taught a lesson.",UP EVERY SUNDAY,https://www.webtoons.com/en/drama/get-schooled/list?title_no=2684
22,Lookism,Taejun Pak,33.9M,Drama,9.79,2.2M,"Daniel is an unattractive loner who wakes up in a different body. Now tall, handsome, and cooler than ever in his new form, Daniel aims to achieve everything he couldn't before. How far will he go to keep his body... and his secrets?",UP EVERY SUNDAY,https://www.webtoons.com/en/drama/lookism/list?title_no=1049
23,From a Knight to a Lady,Ink. / Hyerim Sung,"2,18,511",Fantasy,9.64,275.9k,"Estelle meets her untimely death as a valiant knight of the Kingdom of Ersha. But death is not the end for Estelle -- three years after her demise, she finds herself reincarnated in the body of Lucifela Aydin, the spoiled and cold-hearted daughter of a count in the Empire of Jansgar. To her dismay, she finds that her country fell to Jansgar years ago, and that she is now betrothed to Zedekiah Heint, the son of a duke and her adversary in her previous life. Can Estelle discover the truth behind her death while attempting to navigate her new life as Lucifela?",UP EVERY SUNDAY,https://www.webtoons.com/en/fantasy/from-a-knight-to-a-lady/list?title_no=3164
24,Purple Hyacinth,Ephemerys / Sophism,9.5M,Mystery,9.91,1.3M,"Her ability to detect lies has made her an outstanding officer of the law , despite being haunted by her inability to save the ones she loved from a gruesome fate many years ago. Now, she uses her powerful gift to defend the defenseless at any cost , even if it means teaming up with a deadly assassin to fight evil in a world gone mad.",UP EVERY TUESDAY,https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621
25,Odd Girl Out,Morangji,15.8M,Drama,9.84,796.4K,"After a successful winter break makeover, Nari is finally ready for her high school debut. But somehow, she ends up friends with the three prettiest girls in school! Follow Nari as she tries to navigate her brand new high school life surrounded by beauties.",UP EVERY TUESDAY,https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420
26,Unwritten Death,MaracuyasArt,"1,58,001",Romance,9.74,181.8K,"Adiel is a shy boy with a special gift. He can see the afterlife! For as much as he tries to ignore his abilities, his world will be turned upside down when he meets Death, a lonely deity that yearns for human company. When a new threat endangers the wellbeing of his world, they must work together to save themselves from an infernal catastrophe. Will Adiel be able to return to a normal life? Or is there something else that awaits him?",UP EVERY TUESDAY,https://www.webtoons.com/en/romance/muerte-no-escrita/list?title_no=3201
27,It's Mine,LuckS,7.2M,Thriller,9.73,1M,"There's nothing that Yohan Do doesn't know about his crush, Dajeong. Where she sits in class, works after school... and even where she lives. But unable to approach her, he watches her every move from afar and will do anything to protect her. Anything.","UP EVERY MON, THU",https://www.webtoons.com/en/thriller/its-mine/list?title_no=2010
28,Secret Playlist,2F,2.3M,Romance,9.66,560.6K,"Hanju is your ordinary university studentâ€¦ except for the fact that she's also the up-and-coming Metube cover artist, PLII. When popular boy group member Levi takes notice of PLII and requests to collaborate, Hanju will do anything to hide her secret identity. But as the two grow closer working on a class project, Hanju's cover begins to unravel. Will Levi discover her secret?",UP EVERY FRIDAY,https://www.webtoons.com/en/romance/secret-playlist/list?title_no=2395
29,Seasons of Blossom,HONGDUCK / NEMONE,3.2M,Romance,9.86,584.9K,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter -- love blossoms in all seasons.","UP EVERY TUE, SAT",https://www.webtoons.com/en/romance/seasonsofblossom/list?title_no=2509
30,Death of a Pop Star,Violet Karim,2.3M,Romance,9.34,542.4K,"Number one on the pop charts and in the hearts of fans world-wide, Sophie Lim is at the top of her game -- until she takes a tumble from the top of the stairs. Now she's dead, and it turns out it's harder to build a career from six feet under. But lucky for her, the Grim Reaper's her number one fan!",UP EVERY SATURDAY,https://www.webtoons.com/en/romance/death-of-a-pop-star/list?title_no=2273
31,Before We Knew It,Nakano Mayaka,3.5M,Romance,8.82,699K,"A stranger to love, Kano's only romantic experience lies in novels. Her love of books has driven her to pursue a career in editing. When she's assigned to work with playboy best-selling author Kagaya, she becomes determined to succeed despite their ever-complicating relationship!",UP EVERY SUNDAY,https://www.webtoons.com/en/romance/before-we-knew-it/list?title_no=1972
32,No Longer A Heroine!,Maenggi Ki,2M,Romance,9.38,396.3K,"Lisa Cheon used to be the nation's favorite on-screen idol, but swiftly falls from grace after being framed as a drug addict. She is offered the opportunity to turn it all around by starring on a new TV show, but it won't be easy: her character's love interest is her ex-boyfriend, and she's too nervous to act without alcohol. Can Lisa regain what she has lost and face the demons of her past?",UP EVERY MONDAY,https://www.webtoons.com/en/romance/no-longer-a-heroine/list?title_no=1264
33,Viral Hit,the gom (happybooks2u) / jungmi,"60,620",Action,9.83,395.9K,"Scrawny high school student Hobin Yoo is probably the last guy you'd expect to star in a NewTube channel that revolves around fighting. But after following some advice from a mysterious NewTube channel, Hobin is soon knocking out guys stronger than him and raking in more money than he could have ever dreamed of. Can Hobin keep this up, or will he eventually meet his match?",UP EVERY TUESDAY,https://www.webtoons.com/en/romance/date-first-love-later/list?title_no=3345
34,"Date First, Love Later",Taejun Pak / Kim Junghyun,2.5M,Romance,9.5,141.5K,"Jaerim Lee, a student in film studies major, needed a way to quiet down the rumors that he's into guys. Gaeun Cha, a student in screenwriting major, needed to get away from the dorky senior who was always hitting on her. The two of them begin a contractual relationship to solve their problems, but as they get to know each other, Gaeun starts to fall for Jaerim's charm little by little...",UP EVERY WEDNESDAY,https://www.webtoons.com/en/action/viral-hit/list?title_no=2268
35,Let Me Stay Over Tonight!,Yunana / Heabun,"6,78,444",Romance,9.42,272.4K,"28-year-old Gyuri Gam wakes up one morning after a night of heavy drinking. She suddenly recalls that someone at work asked her out, but can't remember who it was! Gyuri narrows it down to three possibilities: Seunghu, her hot co-worker who is nice to her; Myeongseok, her talented but cranky boss who she's sure hates her; and Leo, a popular actor who anybody would kill to date. At first, Gyuri thinks the identity of her secret admirer is obvious... but is it?",UP EVERY MONDAY,https://www.webtoons.com/en/romance/let-me-stay-over-tonight/list?title_no=2683
36,Lost in Translation,Jjolee,4.5M,Drama,9.71,576.7K,"The up-and-coming K-pop group Mayhem is steadily climbing the charts, but fame doesn't come for free. Bad Boy front man of the group Wyld knows this all too well. Forced to take on a controversial persona behind his fellow members' backs to help keep the momentum going, can Wyld keep sight of himself beneath all the lies and scandals? Or will he become his own false persona?",UP EVERY FRIDAY,https://www.webtoons.com/en/drama/lost-in-translation/list?title_no=1882
37,"Mom, I'm Sorry",MiTi / GUGU,3.9M,Drama,9.72,760.5K,"""Mom, I'm sorry. Please don't die."" When Henry realizes death is at his mother's doorstep, he strikes a deal with a lifespan dealer to give years of his own life to his ailing mother. Now, his mother is a 20-year-old college student with a full life ahead of her, and Henry devotes his remaining days to helping her live life to the fullest. But things turn complicated when his friend falls in love with her!",UP EVERY FRIDAY,https://www.webtoons.com/en/drama/mom-im-sorry/list?title_no=2049
38,Madame Outlaw,Junk Ren / WmW,"5,35,638",Historical,9.54,257.2K,"1842. Thaddeus murdered Estelle's brother, but only Estelle knows. When he convinces her family that they should be wed, Estelle goes through with the wedding only to steal Thaddeus' coveted map of the Oregon Trail, his horse-drawn carriage, and his stable boy. She then embarks on a nation-wide adventure with a growing band of criminals. Their destination? The West--where she can be free of the oppressive aristocracy she left behind. The only problem is that Thaddeus will do everything in his power to bring her back.",UP EVERY FRIDAY,https://www.webtoons.com/en/historical/madame-outlaw/list?title_no=2716
39,Back to You,Honey B,3.1M,Drama,9.7,648.7K,"What if an unexpected accident suddenly transported you back to ten years ago? For Hayoung, suddenly traveling back in time to high school means the opportunity to save the life of Jaehyun, the one person she's always loved... Will she be able to change both of their fates?",UP EVERY FRIDAY,https://www.webtoons.com/en/drama/back-to-you/list?title_no=2113
40,To You Who Swallowed a Star,ARI,1.5M,Romance,9.51,321.9K,"When Jiu Seo moves out of her childhood friend's mansion and into a small one-bedroom apartment, she thinks her world is ending -- that is, until she meets Hajun and Hayul, the neglected children who live downstairs. When a scouting offer comes in for Hajun to join an idol survival program, Jiu encourages him to audition, completely unaware of how it will change the trajectory of her and everyone else's lives forever.",UP EVERY MONDAY,https://www.webtoons.com/en/romance/to-you-who-swallowed-a-star/list?title_no=2533
41,Heavenly Roommates,MARO / kang jaegeon,"1,63,300",Fantasy,9.52,191.9K,"As a rabbit who lost her baby to a tiger, Myoryeong is infuriated by the cruel ways of the jungle. She delves into spiritual training to become divine and create an ideal world, but her resolve weakens with time. Just when she's settled for the status quo, the god she serves sends her down to earth with an impossible quest: finding the ""udumbara,"" a mythical flower that will save the human world. Her partner is none other than Hanho, the very tiger responsible for her baby's death! Will the two enemies set aside their past conflict and rescue humanity?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/fantasy/heavenly-roommates/list?title_no=3208
42,She Would Never Know,Cafelatte / JINHA,"9,91,292",Romance,9.06,360K,"Gentle in demeanor yet fiercely independent and competent, Songa is a top assistant brand manager at Klar Cosmetics who gets things done with a smile. Thriving in life, she is suddenly caught off guard by her charming junior colleague's enigmatic warning, ""Don't put on that lipstick."" Then an unexpected revelation changes everything.",UP EVERY THURSDAY,https://www.webtoons.com/en/romance/she-would-never-know/list?title_no=2508
43,Neon Revenge,MURO,"1,40,430",Action,9.68,267.3K,"No one would have ever guessed that nerdy-looking Seongbin Cha is actually Neon Mask, the internet hero popular for punishing violent, bullying teens on ViewTube. He won't rest until he eradicates every last delinquent in the country. Can he stomp them all out with the help of his bodyguards, or will they come back stronger than ever?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/fantasy/the-spark-in-your-eyes/list?title_no=3210
44,The Spark in Your Eyes,Gisong / NemGa,"9,73,686",Fantasy,9.66,188.9K,"Erkin, a young pharmacist from the north, was orphaned from the war between the Northern Nations and Mormeratta. After making a name for himself in Mormeratta, he is summoned to treat a mysterious ""master of the castle"" whom no one has ever seen. He reluctantly agrees, hoping it will bring him one step closer to finding the infamous Witch of the Sun who killed his parents during the war. Little does he know, on his quest for vengeance, the witch may have been by his side all along. What will Erkin do when confronted by his sworn enemy turned friend?",UP EVERY SATURDAY,https://www.webtoons.com/en/action/neon-revenge/list?title_no=2510
45,The Croaking,echorise,5M,Fantasy,9.79,550K,"The Roost - the world's most prestigious military academy - has never accepted a Crow into its ranks. Until now. However, the conditions surrounding Scra's acceptance are shrouded in conspiracy, and his new roommate Ky won't rest until he finds out just where he goes every night. Between flight tests, classes, and Murders, Scra, Ky and Ree must band together to uncover the truth about their utopia and the whispers of a superweapon - ""The Croaking"" - that are seeping from the cracks.",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/the-croaking/list?title_no=1494
46,There's Love Hidden in Lies,Kawai Aporo,"8,14,665",Romance,8.81,260.5K,"There's nothing worse than having the guy you've secretly crushed on for ten years say you're like his mom. When Natsume Mishima is given a chance to be in a fake relationship with Chikage, the hottest guy in her class to make her crush Yuuki jealous, she takes it -- even though she hates lying. Will this web of lies get her the guy she wants?",UP EVERY SUNDAY,https://www.webtoons.com/en/romance/theres-love-hidden-in-lies/list?title_no=2467
47,Raven Saga,Chihiro Howe,"7,92,670",Fantasy,9.73,180.6K,"Secluded deep within the forest, Wen has never experienced life outside her cottage home. Alongside her over-protective grandmother, they both live under a protective seal that had kept them unseen from the rest of the world. Every day she is told to remain safe and to never go beyond the woods past the stone markers. However, curiosity takes hold of her as she longs to experience the vast outside world for herself. But little did she know the real mystery and danger that lies behind her doorstep.",UP EVERY FRIDAY,https://www.webtoons.com/en/fantasy/raven-saga/list?title_no=2527
48,Midnight Rain,Pani,1.3M,Drama,9.1,343.2K,"For work purposes, Noemi's family settled in the estate of one of the wealthiest families in the country. There she meets Blade, the hot-headed prince, and Soren, the illegitimate son. Enjoying simple days of innocence and love, Noemi's happy life quickly shatters into complete darkness. After tragedy, jealousy and betrayal, what will be waiting for Blade, Soren, and Noemi at the end of the road? Will love be able to save them?",UP EVERY MONDAY,https://www.webtoons.com/en/drama/midnight-rain/list?title_no=1797
49,The Girl Downstairs,Songah Min,2.9M,Romance,9.6,528.7K,"When Joon moves into his new apartment on his first day of college, he wasn't expecting beautiful ex-celebrity Duna to be living downstairs. Joon tries to avoid her at first, but finds himself growing more and more curious about her mysterious life.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/romance/the-girl-downstairs/list?title_no=1809
50,The Nuna at Our Office,Juin Kim / Taejun Pak Webtoon Company,"3,68,698",Drama,9.57,204.9K,"When Manager Son is sent to a new department, his boring office life takes a sweet turn. There, he meets Manager Ahn, an older colleague whose competence and charming aura leave him in awe. But as Manager Son grows closer to her, he realizes there's more to her strong, independent front than meets the eye. And soon enough, he begins to understand why office crushes can get complicated.",UP EVERY FRIDAY,https://www.webtoons.com/en/thriller/tales-of-greed/list?title_no=2772
51,After School Lessonsfor Unripe Apples,WasakBasak / JANE,"1,94,208",Drama,9.82,110K,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group ""The Fire Boys"", and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn't appreciate her efforts to get to know him. What's up with that?",UP EVERY SUNDAY,https://www.webtoons.com/en/drama/the-nuna-at-our-office/list?title_no=3089
52,Bad Signs,Nawa,"1,77,346",Comedy,9.56,251.1K,"The pilots fudged their flight-checks and the plane engine's probably going to blow, but what else can you expect when Mercury is in retrograde? So much for the paradisiacal vacation these twelve contestants signed up for. Now all twelve members of the zodiac are trapped on a real desert island with nothing to eat but each other and some monkeys. Who will win? Who will survive? Only the stars know for sure.",UP EVERY SATURDAY,https://www.webtoons.com/en/drama/moonlight-beauty-parlor/list?title_no=3092
53,Lone,Mel0h,1.5M,Fantasy,9.72,314K,"Born without magic in a world full of witches, Lone is determined to claw her way to the top of wizarding school if it kills her -- and it just well might! After a deal with the devil improves her magical aptitude and leaves her with a parasitic demon lord stuck to her forehead, Lone's dream is finally within reach. Now she just has to survive long enough to graduate high school...and help Lord Beelxaroth retake his rightful throne as King of Hell so that he'll finally get out of her hair.",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/lone/list?title_no=1929
54,Tales of Greed,Soonkki,"1,85,973",Thriller,9.33,162.3K,"Every person has something they desire, whether it's beauty, wealth, or power. Depending on what you're willing to risk, you could have anything your heart desires. You could be beautiful with the swipe of an app or become anyone with the press of a button -- but it all comes with a price. How far would you be willing to go to get what you wish for?",UP EVERY SATURDAY,https://www.webtoons.com/en/drama/after-school-lessons-for-unripe-apples/list?title_no=3093
55,Moonlight Beauty Parlor,Jimena Aranda,1.5M,Drama,9.67,155.3K,"Ina Yun is left without a job or home after she gets fired and her house burns down. Her luck takes a turn when Hyeondu Seo, owner of the Moonlight Beauty Parlor, offers her a place to stay as well as a job -- on one condition! Hyeondu suffers from insomnia, and it seems Ina's presence is the only thing that allows him to sleep through the night. If she agrees to help him sleep at night, she can stay. As Ina spends more time with with Hyeondu, her heart begins to skip a beat when she sees how thoughtful he is with each of his clients. Is Hyeondu only keeping Ina around to help him sleep, or do his feelings run deeper?",UP EVERY SATURDAY,https://www.webtoons.com/en/comedy/bad-signs/list?title_no=1623
56,Money Game,Bae Jin-Soo,"33,873",Thriller,8.51,51.8K,"Eight participants, 100 days, and a shared pot of money amounting to 44.8 billion won (around 38 million USD). This is Money Game, a reality TV show, where participants try to spend as little as possible to walk away with as much as they can. Marooned in a specially designed TV set with nothing but a set of clothes and a rule book, every item they purchase is 1,000 times the original price. How much money will the participants manage to keep?",UP EVERY TUESDAY,https://www.webtoons.com/en/thriller/money-game/list?title_no=3254
57,Crown of Feathers,Nicki Pau Preto / Foxkirin,"9,84,245",Fantasy,9.22,300K,"In a world ruled by fierce warrior queens, a grand empire was built upon the backs of Phoenix Ridersâ€”legendary heroes who soared through the sky on wings of fireâ€”until a war between two sisters ripped it all apart.
 â€‹
 Sixteen years later, Veronyka is a war orphan who dreams of becoming a Phoenix Rider from the stories of old. After a shocking betrayal from her sister, Veronyka sets out alone to find the fabled Phoenix Ridersâ€”and will stop at nothing to join their ranks.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/fantasy/crown-of-feathers/list?title_no=2126
58,Pyramid Game,Dalgonyak,"7,20,233",Drama,9.53,173.8K,"Every Thursday afternoon, once a month, students at Love High cast their votes in a popularity poll. The result? A brutal ranking system that determines the entire social hierarchy of the school. After starting at the bottom, can new transfer student Suji make her way to the top of the pyramid? Or will she topple the game altogether?",UP EVERY THURSDAY,https://www.webtoons.com/en/drama/pyramid-game/list?title_no=2277
59,Fluidum,GirlsOnFilm / ValeriaM,1.1M,Drama,9.11,199.2K,"Jesse was born like every citizen in the Fluidum universe, spending their first 20 years shifting seamlessly between a male and female body. Now with only one year left until they must choose one body for the rest of their life, Jesse is questioning the unquestionable... why decide at all?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/drama/fluidum/list?title_no=2283
60,The Sound of Another,Eun Hyuk Park,2.1M,Sci-fi,8.84,187.6K,"In the near future, everything we experience in our everyday lives can be marketed as content for the masses. On the top video-sharing platform, Vvolume, content creators compete for views, likes, and subscribers in a fierce struggle for fame and wealth. The glitz and glamour of the ""Vvolumer"" lifestyle takes its toll, however, leading top livestreamer Songyi Baek to make an attempt on her own life -- only to meet Seungho Nam, a kind and hardworking young man with a voice like honey. Brought together by fate, Songyi and Seungho must navigate their way through this digital society, where every aspect of their lives is on display for the world to see.",UP EVERY TUESDAY,https://www.webtoons.com/en/drama/random-chat/list?title_no=1669
61,The World is Money and Power,Baek June / Thresher,"1,84,029",Action,9.68,162.1K,"Gunwoo Dahn has vowed to overthrow the status quo of the dysfunctional high school he recently transferred to, where rich and powerful third-generation chaebol heirs call the shots and gambling runs rampant. But does Gunwoo have what it takes to beat the odds, defeat the Taekyeong Oh Family, and restore law and order to his high school?",UP EVERY SUNDAY,https://www.webtoons.com/en/sf/the-sound-of-another/list?title_no=2955
62,Random Chat,Dongwoo Han / Dohee Lee,"3,66,790",Drama,9.62,311.2K,"If you lived through , or are still living through , high school, you can relate to Joon-Woo. An outcast and a loner, his only joy comes from the hours he spends on his phone, randomly chatting with strangers. It's all weird and meaningless, until Joon-Woo strikes gold , as he's matched in a private chat with a pretty young girl his age. Jackpot! But when he discovers that this same pretty girl is actually his classmate Seung Ah, things get a little too real for a guy who's never even remotely been kissed.",UP EVERY SATURDAY,https://www.webtoons.com/en/action/the-world-is-money-and-power/list?title_no=2615
63,If AI Ruled the World,POGO / HOOPA,"3,23,100",Sci-fi,9.63,150.8K,"Welcome to a world where artificial intelligence can drive your car, look after you when you're ill, and solve all of your problems. But all of this convenience comes at a price. AI can pose a threat when it no longer has humanity's best interests at heart. Can humans learn to coexist with AI?",UP EVERY MONDAY,https://www.webtoons.com/en/sf/if-ai-ruled-the-world/list?title_no=2605
