Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,187500,203000,215000,287300,228900,488900,506100,599012,315450,165735,200959,210875,191977,209255,234366,196420,86868,,,,,,,,,,,
Mali,MLI,39200,39000,44000,46900,49800,50500,59400,61400,57000,66000,71000,71000,79000,77000,70000,61000,69000,4000,,,,,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,303692,363857.3759,181742.6142,33444,0,,,,,,
Malta,MLT,127800,110800,102100,140600,152500,205200,221100,255300,351600,382000,401500,397900,401700,366300,364100,384100,411300,429400,480600,506500,597800,648600,692500,797000,1002500,1065900,1037500,1054300,1159400,1421300,1364904,1340031,1398990,1309119,1365223,1371865,1495333,1674773,1708268,1992900,1699829,1673765,1535101,1603404,1588165,1583046,1500824,1575125,2576898,2251944.835,
Myanmar,MMR,345800,380500,393000,405000,388300,391300,396000,410000,425000,460000,481000,500000,515000,517000,487000,509000,511000,512000,516000,308000,318500,318500,318500,318500,318500,334500,334500,334500,333200,536800,437600,398216,1186162,1117208,1392244,1503624,1620895,1662866,1637923,1527346,924207,1539676,1663425.435,1572120,1926969,2095503,2741388,3149037,3407788.433,3701663.849,
Middle East & North Africa (excluding high income),MNA,3575800,4124900,4817000,5611900,6920600,8605400,10386000,11833300,13058400,12941600,13570500,13987100,15082400,16939000,17702900,17521400,17574800,18367600,19326800,20258200,20968500,18725100,19938500,19026300,20017600,20833300,22956900,26337800,25271800,25105400,26100792,34079465,26788324,32800028,30468644,31260133,34256632,36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,67240082.92,65811920.69,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121737,,287111,337046,383140,,,,,659355.4148,523356,544519,528852,503040,526980,544597,507637,565522,597380,
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,615700,590600,630000,630000,661500,661500,240200,239700,224700,253917,255298,269886,294880,310158,295252,347998,380708,364470,257233,391188,496649.1077,626469.9665,585864,683254,529311,537853,602775,670360,744413,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,119500,248900,225200,266400,273000,282200,291500,391100,404700,325200,207700,226400,210600,235000,242900,279500,282800,224700,206200,220700,168200,163400,188400,200700,234800,259568,264216,281513,280516,293873,346830,350314,443010,461125,490019,558192,577019.8145,559608.7957,701472,739636.7441,676028,632965,569211,540124,587364,
Mauritania,MRT,84500,68400,65900,72700,78300,84500,94400,105400,117200,124300,141100,144100,147300,148500,201700,213800,233400,216100,216100,220400,222700,212700,212700,214600,215600,227900,234800,245200,249600,187400,185061,155687,105541,116136,128329,138595,149188,154662,153895,142355,524817.8947,381075.9236,325239.5236,261696,271212,248158,280215,418817,379211,386621,
Mauritius,MUS,23000,24200,25200,24000,28000,30000,33000,30100,55000,82300,83700,102200,106400,122900,155000,182800,199700,285400,383700,423800,519700,525300,578100,581900,635900,675800,716900,803900,847500,823200,949085,1002282,1029466,1042773,1088696,1145737,1056496,1277957,1256746,1092580,1265458,1321491,1313976,1318052,1354388,1466527,1593666,1674395,1745291,1726868,
Malawi,MWI,51700,66100,74700,90400,98300,122400,93700,100300,106400,111700,94000,107600,130300,96900,127000,140400,140200,114200,115800,121200,120300,120100,121400,132100,141600,148700,152500,158300,157700,112300,115831,112560,104711,108854,122477,132275,145747,154837,159917,157007,91520.1894,82709.54499,53518.998,5856,5856,6011,6744,10545,10545,7117,
Malaysia,MYS,748900,875100,1015600,1864400,2331900,2503600,2671000,2864700,3096000,3489500,4516400,5347700,5241700,5360900,5685400,5687000,6310500,7396100,7683600,8694600,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014.17,38218608.85,39165195.22,47995842,49673884,50345820,53817353,58711937,60481772,63623130,
North America,NAC,173629292,184390404,202953908,216936000,223979900,221613300,239850396,257611392,291497504,334470400,317782088,303183500,310646408,333707996,359574088,391747504,434932996,461779204,476582312,474435304,485175416,468602404,483783292,487442612,533028800,553803196,593928000,614552892,612824180,658966608,707095388,662639760,621733444,624881527,718811915,765777598,772257943,796405857,755498308,732006924,783774409.4,796874012,807166400.8,814697725.9,838238607,878450302,909445425,940807001,980528000,1020089000,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,455000,163200,178700,198800,224600,236800,214500,213700,214100,247147,215237,222009,265655,282915,399280,400947,430741,452167,454855,485849,540867.9,632330.085,510000,522216,553322,558713,623076,602893,212578,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,54700,56700,52900,57600,63500,69000,75400,83400,94200,99300,111100,114100,116300,117500,117700,73500,120000,111700,111300,74000,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,0,0,119652,87936,13227.5,15243,15044,14713,,,
Nigeria,NGA,173000,227100,286800,314100,430300,590400,800800,1093900,1441000,1581300,1938500,2300200,2138400,2221300,1945900,2575000,2134000,1614400,995000,848900,964800,930000,646500,608400,664800,547900,221200,318200,313400,419700,507396,519453,520278,520263,540461,747648,1307541,1363435,1460900,1365343,4197375,4793913.274,4716148.081,4209624,4462001.63,4613169,4110075,4789878,7786143.994,6539048.353,
Nicaragua,NIC,107100,137500,144000,77500,81000,85000,89000,110000,110000,145000,115000,97000,100000,95000,85000,90000,80900,85000,86500,109500,129600,129600,159200,34000,43800,48200,51300,51300,51100,58700,61031,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,2881100,3012300,3275800,3682400,3627100,3827700,4080900,4452000,4718300,4918900,4983800,5058000,5201900,5278900,5654900,6027700,6382000,7403400,7860100,8253400,8559400,8893200,10087800,11774600,12894800,16377900,17114300,17889900,18675500,19741200,20898713,20072980,22931166,23454932,25595676,26132696,27454451,28857440,29601230,29108547,26979676.63,29959476.4,31672223.98,33455251,33956338,35687843,40078714,42763443,44417573.58,46358457.95,
Norway,NOR,2412300,2791600,3101600,3342600,3367500,3530400,3853500,4192500,4487400,4866900,4804400,4979400,5210400,5610800,6113900,6799700,7485200,8146000,8261000,8300000,8928500,8857300,9661200,10383600,11133100,11695500,12727300,13759000,14291500,15009600,15182305,14556181,13699204,12805757,12277222,,,,,,,,,,,,,,,,
Nepal,NPL,203400,217900,232000,250000,263000,219700,248300,255000,270000,416500,379900,364500,400200,363700,395500,422000,436200,408800,987800,679100,679000,633900,648800,633100,682600,716700,755000,755000,753600,582600,643332,641142,352544,356369,444691,480266,509792,528226,520303,484394,917939,901116.1179,776864.1216,643140,517548,510342,634292,2443630.512,4525805,1659671,
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210424,30195.52105,34884.32689,19334.84785,16488,34572,38859,47252,45457,40290,50668,
New Zealand,NZL,1862000,1923800,2084300,2544400,2961300,3047400,3023200,3198500,3399500,3807300,3497500,3316100,3073900,3222000,3764900,4158600,4527300,4812300,5093600,5723500,5865600,5370800,5784400,6290800,7716100,7676600,9597000,9435400,8654900,9565600,10781314,11467023,11285424,12259437,11305401,11951935,12382205,12545766,12950904,12104116,13295185,13747024.21,13937353.94,14434056,13618712,14385078,15300409,16271523,17249049.95,17763604.46,
OECD members,OED,276589892,296537504,327004108,356798200,369035400,371410200,401309296,434540092,487082104,547918000,531814388,524004700,532905608,560323496,598958588,644682604,694577696,746656404,782184012,810093200,846937916,826639404,873450392,893611716,971255004,1021039596,1099596504,1151287192,1159476480,1245629100,1333236717,1283609610,1247264642,1278025311,1413357107,1475137918,1523845112,1594664421,1561688255,1516777735,1673073625,1721515451,1764708589,1828732574,1901844153,2024220925,2134765172,2243961564,2361878663,2449730657,
Oman,OMN,,,,,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,647400,699200,776400,834800,852900,957500,1081100,1180000,1511800,1452900,1620200,1678400,1849300,1933100,2118338,1980076,2103559,2777424,3267088,,,,,2360682,3262849,3795755,4430383,4994729,5051804,6365784,7709851,9035230,10438241,11239996,
Other small states,OSS,,,,,,,,,,,,,,,,,,,5273200,5397300,5798000,6502100,6772500,7255400,8573000,8905500,9287800,9670100,10360700,11464000,,,,,,,,,,,29535977.74,31467772.9,34532854.87,34877522,,43818107,51705282,,53400215.37,54168104.91,
Pakistan,PAK,1335900,1085600,625200,805200,1047700,1451800,1947400,2303700,2656300,2773100,3029200,3096800,3328800,3466900,3641900,3839400,4127200,4434400,4889400,5009000,5180200,5197700,5680600,5647100,5663700,5342600,5375000,5882500,5414100,5850000,5293541,6011849,4141009,4522110,5097477,5364134,5714831,5439144,5605758,5303268,6588114,7940545.076,7973906.361,7833901.088,7670348.185,8467827,9628354,7260769,6880637,7420378.249,
Panama,PAN,307400,337200,316200,217500,275700,357100,374100,347400,365700,381300,355200,309200,332200,323400,371600,390300,364200,370800,382000,372500,265800,342700,282700,320500,519900,661200,688800,772200,859900,932500,1117411,1114727,1047843,1416071,1500673,1795958,2028711,2473261,2762458,6348000,5524157.43,6380080.184,7517581.277,11656416,11812712.84,12193261,13285098,11975372,12631703,12497758,
Peru,PER,390500,263700,525300,590000,1116900,1335200,1439200,1425000,1449000,1686100,1980100,1777100,1739700,1698200,1616800,1563900,2152900,3009000,2737100,1854300,1816200,1490600,1217600,1362400,1894900,2508300,2327500,2724500,2774500,1900000,1595268,2248991,2085823,2226329,3225128,4332223,4217880,5273188,6184410,5843195,7106025.293,8609620.354,10074855.61,12255937.76,12284677,13877662,15081755,16094150,17758527.27,18820572,
Philippines,PHL,2369000,2070900,2123900,2349600,2525100,2758400,2815700,3021100,3411600,3474900,3245600,3542700,3866900,4319800,4394000,4610400,4879600,5247300,5719500,5715200,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326620.76,28540727.36,25540880,34897404,37023422,40206684,39341995,43080118,47776892,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,,355000,405300,440000,532300,572300,558600,553500,560400,533800,711400,700900,807400,798300,886600,963400,931200,911000,954000,866000,1112800,970000,970000,1114000,1110300,1058200,1099772,1188089,1234779,690528,762784,818773,918640,918665,904885,847353,1405169,1563593.853,1630308.432,1870968,2074020,1679156,1711274,1864653,1831903,2029701,
Poland,POL,904000,1031200,1267000,1491000,1086800,1454500,1472400,1643200,1702300,1850400,1710500,1592800,755500,1287000,1595900,1587000,1573500,1569500,1600200,1907300,1501000,1051200,1102100,1269900,1451800,1657300,1805900,1998000,2212500,2140700,2340919,2670283,2845919,3252222,3493094,3553680,3625982,4269655,4634676,4279072,4099082,4448727.06,4909100.392,5002975.749,5038745.426,4448883,5497163,7376512,9277538,10225516,
Pre-demographic dividend,PRE,2589800,2847200,2900000,3299800,3830100,4279000,5416400,5693100,6456000,7333900,8054300,8800000,8987200,9138600,8906500,9315600,8586600,8136900,8313100,7581600,7398600,6057800,5674400,5354400,5857800,5618900,5427100,5219400,5677400,5720100,5605843,5129614,,,,,,,,,17819048.66,20387700.77,20515501.68,19925850.82,19349770.9,21230480,20633300,21624757.05,28768397.36,25602394.16,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,165000,166000,,,,,,165000,166000,184000,192200,184400,185000,196000,197500,202000,200000,205000,217500,220400,222700,222700,235100,241800,241800,254000,254000,280000,64000,76700,82953,78805,84321,75046,93808,101313,105366,110634,108974,101237,73052,78558.86155,100113.3486,371004,90335.875,87082,94919,103560,94245,109095,
Portugal,PRT,1415400,1656100,1949800,2247100,2250400,1681300,1650300,1833400,2014400,2264500,1978100,2168500,2272200,2218400,2311800,2315200,2422600,2785600,3025100,3187300,3504500,3571800,4108800,4378900,4359600,4590100,4805500,6281400,7023100,7339300,6721365,6650492,6795580,7590259,9052471,10139655,9440930,10320040,11171020,9903771,10428173.51,11014639,11338080,11860998,12635439,12706909,13105120,15937325,17367956,18673912.2,
Paraguay,PRY,80600,84300,53700,59600,61000,64500,66500,104600,111700,118500,129000,127000,167000,163500,179000,212000,184200,205000,248600,272300,273000,308800,313600,337500,324200,105200,260500,196000,222200,231700,265898,281040,267089,298928,373456,445854,432760,458688,465911,428493,715072,845395.6888,794176,711548.47,608844,452004,467713,454276,710407,632389,
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,,,,,,,,,,,,,457900,448500,478500,435000,455800,488000,560000,641700,647200,661900,711300,669900,734300,775600,1042400,871600,956800,972400,994674,1040635,1169195,1409660,1376595,1366689,1468156,1510124,1487471,1861811,1679808.521,1691669.508,1701510.525,1807896,2006028,2120856,2238966,2543172,2681606,2609710.553,
Post-demographic dividend,PST,268162692,286858404,316019208,344448000,356860200,358191400,386117596,417928492,469681004,528337700,512934188,504208800,512515308,539249896,577758388,622754404,673840096,725444604,762609612,788098600,823529116,803342904,851472092,866599916,939020504,989606440.1,1067013204,1118528992,1129879680,1214796800,1301972064,1251639848,1214443600,1229236696,1360640668,1413314874,1455395380,1510562083,1469546762,1409097909,1535018341,1572981002,1599345143,1647552396,1703839062,1789921540,1872020604,1948532976,2038433312,2121997015,
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,647400,621500,698400,752800,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,2325200,2672972,2778116,3570521,3184104,4453071,6041040,7070851,8879109,9702479,10211229,12391268,14568106,17187171,18737348,21425066,25263224,31209097,29949181,29178923,32953297,
Romania,ROU,452500,429400,488800,611800,674400,613100,912600,1077100,1084600,1119700,1112100,1079700,919400,998600,1163400,1215800,1240400,1281300,1322500,1271700,1322000,1148900,918900,979400,1242700,1244900,913300,995200,907600,980300,1218102,1137305,959487,1255313,1337781,1707714,2047466,3003872,3253417,3268022,3733253,3659209,3593312,3087143,3067724.4,3634598,3686938,4423249,4908235,5630289,
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,128760600,62173900,36124000,28933100,26524800,22117100,20419000,15223700,18600400,17687894,20301199,20892156,22723072,25948923,26522315,28836949,33187839,37940321,34402844,43855539,50555805,58727125,64072322,72189961,76846126,77458318,89373638,99327311,115482744,
Rwanda,RWA,,,,,,,,,,,,9700,25900,4400,4600,4800,4300,8900,11900,10100,8400,10100,9100,9100,9100,,,,,,,,,,,,,,,,188221,268376.55,593198.45,610992,626928,544541,644559,1031957.04,1502478,1561562.214,
South Asia,SAS,4400200,4070900,4363900,5141900,4983200,6225200,7422400,8481700,9790500,10583900,10964100,12195300,13529900,14473100,15846600,17084600,18061800,19186000,20656900,20406500,18916100,18692200,19784000,18013800,20433000,23175700,22444800,25538500,25389700,25506900,26822530,26775369,25502242,27975359,33660738,38307149,51488173,62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189594450.6,190685363.3,
Saudi Arabia,SAU,558000,513600,762000,968300,1282500,1835700,3268000,4705100,6268100,7689200,9241200,9146900,10151800,10670300,11365800,10795100,9929400,10258400,9879600,9988000,10311500,9409100,11154800,11864300,12142300,11524200,11706300,11738200,11816200,12328500,12566492,12835735,13564300,13821729,14942633,15933045,16830838,17141188,16708204,17508200,20323592,23135735,26537661,28252104,32269452,33431736,35092840,37503000,39767648,39350310,
Sudan,SDN,124700,139500,133400,221500,244700,250000,328300,378500,176000,424000,519000,465300,477600,473000,485000,428000,347400,417200,533700,363200,454100,363200,480000,407900,432400,496900,490800,333100,498700,390300,414179,414983,409178,420498,473127,510977,563026,598151,617785,606558,580325,947031.4561,777346.3319,541644,501864,496177,292843,557792.04,561520,530001,
Senegal,SEN,85100,89400,88900,94600,102500,110000,120400,128400,137200,142300,113100,116100,118300,124500,126300,132100,144100,135800,135400,139700,148300,138400,138300,140200,141200,149700,155100,165500,121400,103400,97525,176413,231333,129974,416372,449682,500677,538845,567101,572609,0,391401.4,543987.6,219996,131964,115355,9874,21038,278438.2886,284534.1174,
Singapore,SGP,748900,875100,976100,1248900,1508500,1814700,2132100,2497300,2893200,3377500,3826900,4405400,4591500,4531600,4791800,4912300,4990300,5248400,6046900,6659900,7046400,7745500,8477300,9271200,9929400,10779300,11840700,12980700,13331100,15282600,16704341,16373648,17256872,14172367,16995621,17744017,19565884,20671341,21050204,18427473,24859825.16,26509929.14,29138458.27,31729241,33643518.42,33585397,35370328,38094990,40401515,43050722,
Solomon Islands,SLB,,,,,,,,,,,42400,46200,51100,54600,63700,66000,64900,67500,68500,69300,69400,69400,69400,74600,78500,89500,94300,94300,94000,97700,75262,81376,84537,68104,84676,91450,101190,102090,100558,94027,142660,140183.2639,138160.1153,302412,330456,373739,373467,427806,427806,229670.648,
Sierra Leone,SLE,,,,,,23000,26000,27300,28500,28500,30000,30200,34000,26400,56000,58000,59000,28900,43600,29600,30000,,16500,17500,14500,14500,15200,0,0,,19009,13877,13877,13599,15503,16743,18752,20252,21420,21784,0,48789,50193,,,,,,,,
El Salvador,SLV,138200,146000,140000,147000,155000,160000,170000,210600,225300,257800,264600,241800,254800,265500,360200,395000,467600,444100,448500,617800,524900,577400,682900,1242500,1617100,1698000,1800000,1700600,1694000,1624100,1960363,1692334,1804307,2182463,2391159,2540564,2579145,2536820,2279763,1996982,1816391.104,2151274,2523296,2509003,2816524,2597649,2603129,2670560,2545105,2609917,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,25700,29800,31400,33000,35000,35000,38000,34000,36000,36500,90000,115800,99300,117200,130000,99800,122000,128400,104700,89200,87600,46100,,,,,,,,,,,,,,,,,,,163812.7458,177005.4,178709.7,258336,251652,,4486,4486,33728.96866,34065.55685,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994880,1185479,1011231,1076473,918540,1041747,1118404,1135322,926618,985072,1149102,1240709,1241352,2187144,2427047,2486009,2442731,2262703,2469081,
Sub-Saharan Africa (excluding high income),SSA,4585300,5013400,5360200,6261300,6811800,7320600,8568400,8749000,9727500,11279300,13004500,14195700,14213900,14332400,14673200,14994600,13895900,14099400,14634800,14534100,14566000,13966200,13273000,13633700,14645200,15054600,15661100,16093100,15873700,16774800,17519022,16753549,16016828,17470433,19705682,23121258,25230306,26657989,27510500,27184327,37778795.14,42254442.4,45172846.8,43445905.82,43973716.12,47353496,49115389,53627313.08,64496529.36,65267757.02,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,4585300,5013400,5360200,6261300,6811800,7320600,8580400,8761000,9739500,11291300,13019500,14210700,14279000,14397500,14786200,15179600,14090900,14322400,14862300,14713200,14808400,14208800,13512500,13923000,14942600,15368600,16034300,16477400,16242300,17122000,17912857,17173516,16535011,17883529,20167567,23620094,25775571,27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,64951730.36,65681845.02,
Small states,SST,,,,,,,,,,5196500,5689200,7233400,7466000,7544700,8456300,8994900,9429300,9861000,10354200,10725700,10857400,11625200,11807800,12380400,14086600,14804300,15011900,15107800,15925200,18686500,20091826,19806596,,,,,,,,,36212017.26,38988883.58,42154410.3,42160917.6,47106779.95,51784766,59930507,60503751,62727473.88,63287776.01,
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,9500,9000,22000,22000,22300,22300,22300,22300,22300,22300,22300,23000,24600,24500,33500,35054,35054,34496,35680,40076,43282,47585,50440,51921,50716,,,,,,,,,36660,41933,
Suriname,SUR,,,,,,,50000,53000,120000,146400,144000,144000,107000,106000,117000,108000,89200,110400,135000,132500,132500,150000,123000,96000,148900,161800,194700,278800,277700,307500,232649,202899,191094,258311,289309,315410,306504,324821,329788,303117,214667,204096.676,240525.4415,255204,269148,259682,280090,284935,272347,236601,
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,18300,22500,41100,62600,80700,107300,110600,57095,43113,82821,190182,636276,711939,779759,2679227,2690428,3440816,74856,34859,45111,64008,29031.5983,11098,12928,7925,,,
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,188400,291200,339600,370700,393000,403800,459900,555500,627907,689635,720513,758392,764991,757651,860735,945420,1103685,953378,979803,972711,816630,857000,916981,1045409,1009559,1087075,1094762,869640.1,
Sweden,SWE,2550000,2913800,3014000,3225900,3350300,3464700,3908900,3851800,4360900,5193400,5209400,5632000,6091100,6590800,7335200,7609600,8713900,9428800,10211900,10855000,11402500,9826800,9923500,9719000,10807700,9498000,9879000,11326900,11877700,12917600,13354314,13123426,12421220,11586025,11623925,,,,,,,,,,,,,,,,
Eswatini,SWZ,,,,14000,14000,14000,14000,15000,15500,30000,31000,28800,24400,29000,34300,39400,45000,45700,47000,50700,52900,59300,57200,58400,64800,49300,54300,40700,40500,83000,89791,,,,,,,,,,,,,,,,,,51633,52744,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,12000,12000,12000,12000,15000,15000,65100,65100,113000,185000,195000,223000,227500,179100,242400,242600,239500,289300,297400,314000,373200,384300,368600,347200,393835,419967,518183,413096,461885,498836,545265,574515,586106,564580,412714,393834,235994,344436,407280,497496,567914,633518,455201,414088,
Syrian Arab Republic,SYR,139000,145300,235700,184700,284300,370700,448200,410600,494700,433200,465000,515500,466400,486600,464400,475800,458600,390600,341600,456200,613300,661200,551900,485000,472100,563100,598500,694200,685400,668400,750129,760923,926850,907850,1169646,1239825,1252102,1371450,1358473,1342518,1158366,1433766.695,907927.7418,475932,475932,17902,18117,17564,17896.92117,18456.64505,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,55400,55000,50900,55100,59500,65500,72400,79400,90200,96300,106100,80100,82800,84500,87700,93500,104500,86600,86400,91100,93300,83400,83400,85200,86300,92100,93100,93000,98000,83900,77273,46364,,,,,,,,,48519.19966,74653.8,52041.6,28080,28332,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,10458800,11774800,12545500,13406100,15501800,17583700,19271100,22578600,23809200,23966000,27011600,29876100,34562200,39822200,47560600,43888600,52002100,57726400,68859100,76948800,88615600,104066600,110608300,107441300,106316600,105448300,117392048,131820683,144870039,145911102,202852010,220785964,244343650,277657591,287610282,326402729,430771969.4,482426892.5,525964519.9,579440333.8,640110151.3,708750644,790446548,881640190,964270665.1,1005300883,
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,86420700,54682300,48310200,46923144.1,42728900,41166500,37014300,40019000,41986042,44543460,45328183,49555883,58378519,63293892,69212039,77911513,87710738,88865012,115461132,133766768.6,153418991.8,171433958.6,188867281.8,206959900,214729427,241813816,263345266.5,278283540.1,
Togo,TGO,29900,31400,27700,30000,33800,37900,43600,48900,55700,60800,64600,67600,69800,71000,71700,77500,78400,70100,69700,74000,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,663013,832351.1564,745781.7481,840948,426344.0399,420875,475185,500686,566295,640683.272,
Thailand,THA,764200,713100,785600,1021000,1261000,1616500,1633800,1331500,1773800,2088900,2459000,2834600,3154900,3357000,3671300,4065900,4370000,5179600,6235900,7364500,8201400,7708600,8546800,10196900,11404700,12771400,14078300,14235800,15015400,15950500,17392091,17662418,18111892,16622502,20342582,18902629,20102408,21191723,19993134,19618735,28780723,31940491.98,36392469.35,43029150.6,46546612.48,56447637,62341676,70704889,76053042.75,78227313,
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,782600,782600,822100,594000,594000,591700,155800,168006,,496905,442712,598456,479172,394440,501178,683248,764505,616999.4123,846967.3803,650130.5474,683060.1575,1064176.328,1034477,1037897,580374,492320,539094.616,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,747800,747800,747800,523000,523000,521000,1050400,1283780,1407423,1407423,1411910,1612479,1653638,1843140,1850921,1823157,1706055,300970,160243.7654,147500,1800847.458,579715.68,897079,1318350,2136219,2457474,2081424.32,
Latin America & the Caribbean (IDA & IBRD countries),TLA,16844000,17818600,20070700,21991800,25818100,29673800,32994100,36212100,39956500,46567600,50756800,50864200,52570400,51944700,52887400,54498800,58624400,59991400,59505900,64470900,62937900,62216000,63335900,66721700,72301500,71128400,75346000,83418400,88239900,90651300,93639750,99068745,95813090,92587521,99215943,105704481,108594923,118159408,131727500,138693494,175872865,195644076.8,214936094,232318775.1,246692569.6,262023503,264419476,273553611.4,290659005.9,302785268.7,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,3575800,4124900,4817000,5611900,6920600,8605400,10386000,11833300,13058400,12941600,13570500,13987100,15082400,16939000,17702900,17521400,17574800,18367600,19326800,20258200,20968500,18725100,19938500,19026300,20017600,20833300,22956900,26337800,25271800,25105400,26100792,34079465,26788324,32800028,30468644,31260133,34256632,36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,67240082.92,65811920.69,
Tonga,TON,,,,,,,,,,,,,,,7800,8000,30200,37300,33200,33900,34600,34600,35300,35300,53300,53300,56000,49000,48800,50300,51615,56777,58480,60819,75416,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),TSA,4400200,4070900,4363900,5141900,4983200,6225200,7422400,8481700,9790500,10583900,10964100,12195300,13529900,14473100,15846600,17084600,18061800,19186000,20656900,20406500,18916100,18692200,19784000,18013800,20433000,23175700,22444800,25538500,25389700,25506900,26822530,26775369,25502242,27975359,33660738,38307149,51488173,62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189594450.6,190685363.3,
Sub-Saharan Africa (IDA & IBRD countries),TSS,4585300,5013400,5360200,6261300,6811800,7320600,8580400,8761000,9739500,11291300,13019500,14210700,14279000,14397500,14786200,15179600,14090900,14322400,14862300,14713200,14808400,14208800,13512500,13923000,14942600,15368600,16034300,16477400,16242300,17122000,17912857,17173516,16535011,17883529,20167567,23620094,25775571,27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,64951730.36,65681845.02,
Trinidad and Tobago,TTO,361100,362400,319900,324700,335700,595000,683800,591100,428100,659200,877200,1301500,1380700,1344700,1398000,1299500,1342400,1312300,1296100,1310400,1285400,1345300,1354000,1389000,1642100,1727000,897200,807500,804400,1111700,1254425,1387639,1268879,1084186,1132392,1055106,1024304,1085650,1102669,1014016,1842253,2625055.713,2625055.713,2865852,2732100,2617843,2598521,2582961,2458183,2583595,
