"Date Changed","Rate"
"03 Feb 77","12.00"
"31 Jan 77","12.25"
"24 Jan 77","13.25"
"10 Jan 77","14.00"
"29 Dec 76","14.25"
"20 Dec 76","14.50"
"22 Nov 76","14.75"
"07 Oct 76","15.00"
"13 Sep 76","13.00"
"24 May 76","11.50"
"26 Apr 76","10.50"
"08 Mar 76","9.00"
"01 Mar 76","9.25"
"09 Feb 76","9.50"
"02 Feb 76","10.00"
"26 Jan 76","10.50"
"19 Jan 76","10.75"
"05 Jan 76","11.00"
"29 Dec 75","11.25"
"01 Dec 75","11.50"
"17 Nov 75","11.75"
"06 Oct 75","12.00"
"28 Jul 75","11.00"
"05 May 75","10.00"
"21 Apr 75","9.75"
"24 Mar 75","10.00"
"10 Mar 75","10.25"
"17 Feb 75","10.50"
"10 Feb 75","10.75"
"27 Jan 75","11.00"
"20 Jan 75","11.25"
